"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,0,0,"NA","0",0,0,"     •  '■ •            ,             U ,    T - ."
2,1,1,"HL","0",0,0,"Concert facilities needed for Cal Poly"
3,1,1,"BL","0",0,0,"by Nancy LmtIs"
4,1,1,"BL","0",0,0,"SfMcUH to thf Oflf"
5,1,1,"TXT","1",0,0,"   The ASI Concert Committee is still without a facility in which to hold concerts, and the chance to sign performers to a concert at Cal Poly before June is slipping away."
6,1,1,"TXT","2",0,0,"   The Concert Committee, a part of the ASI Program Board, has been without a facility to hold concerts since October when Jim Hailey, Physical Education department head, refused to allow any more concerts in the gymnasium until further guidelines of gymnasium procedures could be drawn up."
7,1,1,"TXT","3",0,0,"                                                                                                                                 The Concert Committee chaired by Jerry Morales and Bailey along with Harry Busselen. the dean of the School of Human Development and Education, have up with guidelines acceptable to the thfoe of"
8,1,1,"TXT","3",0,0,"them, but are waiting for approval from the university’s Facility Use Committee."
9,1,1,"TXT","4",0,0,"   The Facility Uae Committee la a standing committee chaired by Provost Tomlinson Fort, Jr. Its function is to interpret regulations concerning the use of campus facilities. The group only meets on call as issues arise, according to Morales."
10,1,1,"TXT","5",0,0,"   Morales said he and the rest of the Concert Committee members have been waiting two weeks for the Facility Use Committee to make a general endorsement of the- new guidelines for concert procedures, and will probably wait another week while the members of the Facility Use Committee respond to a proposal Fort sent to each of the members."
11,1,1,"TXT","6",0,0,"   If the committee members generally agree to the new guidelines, the Concert Committee can bid on performers for possible concerts on campus spring"
12,1,1,"TXT","6",0,0,"quarter, according to Morales.                 ,"
13,1,1,"TXT","7",0,0,"   The situation is frustrating for the 106-member Concert Committee because until the committee has a guaranteed facility to use, it cannot enter any contracts with a performing group, Morales said."
14,1,1,"TXT","8",0,0,"   “We won’t even consider bidding, which means Concerts is at a standstill,’’ remarked Morales. ""It's very frustrating for the committee because we haven’t been able to do anything about concerts. As a result we’re going to lose out on a lot of acts.’’"
15,1,1,"TXT","9",0,0,"   Morales said the performers that are available before June have been finalizing their tour dates over the past two weeks. As a consequence. Cal Poly’s, chance of contracting one of these acts is getting slimmer as they wait for the Facility Uae Committee to makes decision."
16,1,1,"ME",0,5,0,"                                                                                                                                                                                       Please see page 5"
17,1,0,"OT",0,0,0,"   A broken down press in University Graphics Systems prevented Tuesday’s Mustang Daily from being printed. For that reason, the Valentine's Day classified advertisements are being run today. Please see page 6 for a belated valentine greeting."
18,1,2,"HL",0,0,0,"Six more instructors arrested in latest of Diabto protests"
19,1,2,"BL",0,0,0,"by Jaaaa Chavarria"
20,1,2,"BL",0,0,0,"Staff Witter"
21,1,2,"TXT",1,0,0,"   Eleven members df Concerned Cal Poly Faculty, Staff and Friends were arrested Saturday as approximately 1-.000 demonstrators protested against the Diablo Crayon Nuclear Power Plant."
22,1,2,"TXT",2,0,0,"   Mote than 60 arrests were made over the weekend in the largest rally at Avila Beach since Jan, llof this year,"
23,0,0,"NA",0,0,0,"                                                                                                                                                                      »w fherfuUH far tndey"
24,1,2,"TXT",3,0,0,"at a pjn. at the Veteran’s Memorial Halt The eleven members an charged with tnepasaing and refusal to disperse."
25,1,2,"TXT",4,0,0,"   Paul Wolff, acting as a spokesman for the group, explained that those arrested would likely be given the choice of paying a fine of 6185 or spending four days in jail. They are currently being held in the Sen Luis Obispo County Jail."
26,1,2,"TXT",5,0,0,"   “None of the people in the group will pay the fine,” said Wolff. “Most of the group will plead not guilty and try and use the defense of necessity.’'"
27,1,2,"TXT",6,0,0,"   Defense of necessity is where a person commits a crime in order to prevent a greater crime, said Wolff. He explained that this defense has never been allowed in a civil disobedience cam but would set an important precedent if it were allow-<*•"
28,1,2,"TXT",7,0,0,"   Each person is allowed to make a statement to the court during the arraignments. said Wolff."
29,1,2,"TXT",8,0,0,"   “They should ha interesting especially to students,” ha added."
30,1,2,"TXT",9,0,0,"   Thom faculty members arrested are: William dark, mechanical engineering; David Enghind, child development; Jim Hauser, physics; Richard Kranzdorf, political science; Bette Tryon, child development; end Walter Tryon, landscape architecture."
31,1,2,"TXT",10,0,0,"   The people in the group that represent staff and friends are: Rich Hubbard, Randy Hutton, Joanna Verhaard, and Gloria Zimmerman. Two Cal Poly students also arrested are Lola Arnold, child development major, and a student that refused to give his name, but was not associated with the group."
32,1,2,"TXT",11,0,0,"   Jim Hauser is the only faculty member that was arrested at both the Jan. 13 protest and last weekend according to Wolff."
33,1,2,"TXT",12,0,0,"   This most recent protest wee spurred by the fact that the Nuclear Regulatory Commission is holding hearings on whether or not to grant Diablo Canyon a low-level testing license."
34,1,3,"HL",0,0,0,"Student senators to decide *™ight on peace resolution"
35,1,3,"PH",0,0,0,"Sarah Longatraet, age 6, looks more serious than moat Poly students as aha stands on Poly View Drive."
36,0,0,"NA",0,0,0,"* ' 1 .. ............................................"
37,1,3,"BL",0,0,0,"by John Bachman •tin wfNii"
38,0,0,"NA",0,0,0,"   ‘ ■                  4"
39,1,3,"TXT",1,0,0,"   The Student Senate tonight is voting on a Pasco Package which would send a message to the California Legislature that Cal Poly students support the Legislature’s peace resolution."
40,1,3,"TXT",2,0,0,"   If the Student Senate passes the Peace Package said Julie Clayton, author of the resolution and senator from Human Development and Education, it would send e letter to Sen Lula Obispo’s representatives that 16,000 students support the Legislature’s resolution."
41,1,3,"TXT",3,0,0,"   The Legislature’s resolution, if passed, would tend s message to the United States Senate urging them to call for the immediate halt to the deployment of nuclear weapons."
42,1,3,"TXT",4,0,0,"   The resolution also calls for a letter to be sent to Congress and the President of the United States urging them to increase peace making efforts and dialogue in order to decrease United States/Soviet Union tension."
43,1,3,"TXT",5,0,0,"( One reason for her resolution was to increase the knowledge of Student Senators, she said. “My underlying purpose is to increase the awareness of the Student Senate, councils and dubs.’’"
44,1,3,"TXT",6,0,0,"   When a resolution or bill is introduced she said, the senate, the student councils and dubs must study the proposal and this increases their awareness of the social issues."
45,1,3,"TXT",7,0,0,"   Many senators have been critical of resolutions which do not directly relate to education, calling for the senate to address issues which only affect students’ education."
46,1,3,"TXT",8,0,0,"   “I don’t think my resolution will pass,” said Clayton. “Because there is a lot of confusion among Student Senators as to their roles as senators and citizens of the United States.’’"
47,1,3,"TXT",9,0,0,"   Clayton said that she will continue to introduce tjills and resolutions which are of great importance to Cel Poly students as citizens of the United States."
48,1,3,"TXT",10,9,0,"   “I’m not pushing my political viewpoints on anyone,’’ Please era page 9"
49,0,0,"NA",0,0,0,"  !> lr iiiimiiininii a iMLi mu"
50,0,0,"NA",0,0,0,"  ifi 'ft %ki rvk dM c        mta jbi ga r»xi ini"
51,0,0,"NA",0,0,0,"  i at m ii i i i i _ui lr r. a a it \a"
52,0,0,"NA",0,0,0,"  iWblfa«^wieeiwkwweiMdwr.. »MSivheaJI M IBBBBBBBBBBBBBBBBbaBBBBBSBSBSStaBI"
53,0,0,"NA",0,0,0,"  [•pi i rrvi rrw hwitsifnurri rtfToiTrrvi"
54,0,0,"NA",0,0,0,"  IBBBBBBBBBBBBBBBBBBBBBmHBBUBHB"
55,0,0,"NA",0,0,0,"  IBBBBBUBBUBBBBBBBBBBBBBBBBBBUB"
56,0,0,"NA",0,0,0,"  f7?—"
57,0,0,"NA",0,0,0,"^^SSSSB"
58,0,0,"NA",0,0,0,"Mmng"
59,2,0,"PI",0,0,0,".Fetaedry1S,19l4"
60,0,0,"NA",0,0,0,"  * -»• *♦-*- ------------ -"
61,2,4,"HL",0,0,0,"Actioiis say more than words"
62,2,4,"TXT",1,0,0,"        Itojjfeltad Stated and tha Soviet Union ate two bahamoths in a faceoff."
63,2,4,"TXT",2,0,0,"        We ate like two old stags. Neither of ue wants to fight but neither wanta to back down either. We are at an iwy— that haa lasted for decades and the tenaion is not abating-/"
64,2,4,"TXT",3,0,0,"        Efforts have been .made in the past to try to relieve some of that tension. Opportunities have occasionally arisen in which we had a chance to better relations with each other. We took advantage of some. On other occasions we blew it."
65,2,4,"TXT",4,0,0,"        We have another of those opportunities now. The death of the president of the Soviet Union resulted in the appointment of a new Soviet leader, Konstantin U. Chernenko."
66,2,4,"TXT",5,0,0,"        The late Yuri V. Andropov, for whatever reasons, was either unable or unwilling to negotiate much with the United States. The new leader comes from a different element of the Soviet top eschelon and it is hoped by Washington that he will be more willing to cooperate in achieving some progress toward peace."
67,2,4,"TXT",6,0,0,"        Washington can talk all it wants, but it is actions that count. The Soviets will be watching us more narrowly than ever during this time of transition. How interested they are in talking with the United States will hinge on what they see us saying and doing in the international theater."
68,2,4,"TXT",7,0,0,"        It is up to us to keep our noses clean. President Reagan has indicated a desire to improve ties between our nation and the USSR. But words don't carry much weight in the Soviet Union. They don’t trust us any more than we trust them. It is what we do that counts."
69,2,4,"TXT",8,0,0,"        Our government in Washington needs to decide whether it is more important to scurry around the world interfering in this revolution or that civil war, ship arms to Western Europe, or to back off and demonstrate our seriousness in wanting to discuss peace."
70,2,4,"TXT",9,0,0,"        We do not need to hamstring our defenses to show the Russians we mean business. But they will take us much more seriously if President Reagan shows them, not just tells them, that America wants to achieve a mutually acceptable peaceful relationship with the Soviet Union."
71,2,4,"PH",0,0,0,"It’s a SLO world"
72,2,4,"PH",0,0,0,"by John Kohlsaat"
