"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"Mustang Daily"
2,1,0,"NP","0",0,0,"California Polytechnic State University, San Luis Obispo"
3,1,0,"PI","0",0,0,"50th year. No. 91"
4,1,0,"PI","0",0,0,"Monday, April 7,1986"
5,1,1,"PH","0",0,0,"Lacrosse fire: Poly wages war against Santa Barbara"
6,1,1,"PH","0",8,0,"Members of the Cal Poly lacrosse team struggle for control of the ball. Cal Poly was trounced Sur>day by an undefeated Santa Barbara. 17-7, dropping the Mustangs' record to 4 and 5. One team member says the lack of a practice held last week hurt the team's chances tor victory. For a story on the game plus other weekend sports action see page 8"
7,1,1,"PH","0",0,0,"OASYL SHORT AUOH/Mu*Une Oally"
8,1,0,"SH","0",0,0,"Parking permit violators"
9,1,3,"HL","0",0,0,"Public Safety to give fines"
10,1,3,"BL","0",0,0,"By Rebecca Manner"
11,1,3,"BL","0",0,0,"Stalt WrH»r"
12,1,3,"TXT","1",0,0,"Because an increasing number of Cal Poly students and faculty members are improperly displaying their parking permits, the Public Safety Department will soon be Pining violators."
13,1,3,"TXT","2",0,0,"Beginning April 14, parking officers will issue S3 citations to vehicles on which permits have been improperly placed. This comes after years of not enforcing university parking regulations as stated in the Cal Poly Handbook of Parking Rules, said Cindy Campbell, Public Safety parking officer. ."
14,1,3,"TXT","3",0,0,"According to Campbell, parking officers recently have found"
15,1,0,"ME","0",7,0,"See PARKING, page 7"
16,1,0,"ME","0",8,0,"International professional wrestling returns to San Lu(s Obipso this Wednesday. Page 8."
17,0,0,"NA","0",0,0,"i"
18,1,2,"HL","0",0,0,"Design contest results in: nolstplace"
19,1,2,"BL","0",0,0,"By Taffy Renkowitz"
20,1,2,"BL","0",0,0,"sun WrIUr"
21,1,2,"TXT","1",0,0,"No first place award was given in the Dexter Building/Landmark com[>etition because none of the entrants satisfactorily solved all of the significant requirements, according to a judges’ repiort which will be made public tonight."
22,1,2,"TXT","2",0,0,"The winning design will not be constructed during spring quarter as originally planned, but the second and third prize winners will still receive the promised cash awards, said landscape * architecture professor Alice Loh."
23,1,2,"TXT","3",0,0,"The award winners were originally announced on March 10, but no explanation was given as to why there was no first prize."
24,1,2,"TXT","4",0,0,"Loh, who was a senior project adviser for the competition and one of the judges, said in a competition a reason is not necessary. Judges need only to announce the winners."
25,1,2,"TXT","5",0,0,"In the competition, students were asked to redesign the entrance to the Dexter Building near the Cellar. The remodeled Dexter Building now houses the departments of art, city afuj regional planning and landscape architecture."
26,1,2,"TXT","6",0,0,"Guidelines for the competition, which is a senior project of three landscape architecture students, required the designs “to identify the departments within, to make the entrance visible and to be a viable exterior space."""
27,1,2,"TXT","7",0,0,"Also, some kind of landmark should be the focus of the space, as specified in the competition requirements."
28,1,2,"TXT","8",0,0,"According to the judges' report, the second place design failed to create a clear, distinctive landmark identity for the departments involved."
29,1,0,"ME","0","back",0,"See DESIGN, back page"
30,1,0,"OT","0",0,0,"IN A WORD"
31,1,0,"OT","0",0,0,"re*a*lla — n., real things; objects or' activities used by a teacher to relate classroom fbaching to real life."
32,1,0,"OT","0",0,0,"WEATHER"
33,1,0,"OT","0",0,0,"Partly cloudy Monday night with a decreasing chance of showers. Fair Tuesday with highs near 70 and lows In the mld-40a."
34,0,0,"B","0",0,0,
35,2,0,"PI","0",0,0,"Monday. April 7,1986"
36,2,0,"SH","0",0,0,"- editorial."
37,2,0,"SH","0",0,0,"GUEST VIEWPOINT"
38,2,5,"BL","0",0,0,"Bob Wolf"
39,2,4,"HL","0",0,0,"‘Lord of the Flies’ Revisited"
40,2,4,"TXT","1",0,0,"William Golding aptly wrote of man’s return to his natural state of barbarism when devoid of authority. We remember his book, “Lord of the Flies,” a story of boys shipwrecked on an island who resort to violence and the idolatry of a conch shell to celebrate their independence and paganism."
41,2,4,"TXT","2",0,0,"Golding’s basis in truth not only recalled man’s history but prophesied spring break 1986 across the country. A similar scenario to that deserted island somewhere in the Pacific took place in Palm Springs, California, U.S.A."
42,2,4,"TXT","3",0,0,"Thousands of students across the country, including Cal Poly students (and you know who you are) washed up on the sandy desert terrain: released victims of a quarter of classes and a week of finals."
43,2,4,"TXT","4",0,0,"To enjoy a week of fun and relaxation was the initial intent of most students, but this innocence deteriorated as a mania of barbarism replaced it."
44,2,4,"TXT","5",0,0,"The sheer numbers of students left the Palm Springs Police Department with little authority in their futile attempts at crowd control. Aha! Seize the moment! With independence as a motivation and a beer can as an idol, students of engineering, the arts and sciences, the humanities (or lack thereoO. reverted to self-imposed states of delinquency, thievery, pornography and vandalism. Rampant sex and lewd conduct startled none as the fourth, fifth and sixth days of spring break came and went."
45,2,4,"TXT","6",0,0,"And on the seventh day they rested, more out of sheer physical exhaustion than peace. Having conquered the land, they were happy. The cars were loaded up with the remains of belongings and friends and headed back to their respective schools. Cal Poly, San Luis Obispo, one of them. Perhaps it is the blonde student utting next to you in speech class who wore no top in a convertible down the main drag of Palm Springs. Perhaps it is the freckle-faced woman sitting behind you in calcuhis class who tore off her shirt. You may never know, as authority has once again imposed a semblance of calm over the university."
46,2,5,"HL","0",0,0,"Environmental problems are alarming"
47,2,5,"TXT","1",0,0,"Today let’s talk about ecotastrophe. What? Yes, ecotastrophe. It’s sort of a word from about 1970."
48,2,5,"TXT","2",0,0,"The early ’70s were the heyday of environmentalism in this country when lots of people began to look seriously at problems such as air and water pollution and depletion of resources. Some people, including some very knowledgable ones, predicted that at the rate things were going, our delicate ecosystem would not tolerate humanity’s abuses much longer."
49,2,5,"TXT","3",0,0,"Even then, most proponents of ecotastrophe were labeled as extremists and alarmists. And today, during a decade in which people seem much more concerned with their incomes than the quality of their air and water, predictions of environmental disaster are not receiving much attention at all."
50,2,5,"TXT","4",0,0,"As you might have guessed, my sympathies are with the ecotastrophists. Geologically, IS years is a negligible time and the verdict is not in yet on most of their warnings^ And what’s wrong with being an alarmist if that means expressing alarm at a potentially caudysmic danger?"
51,2,5,"TXT","5",0,0,"Here are just a few of the environmental problems which could make our lives miserable, or even impossible, in the next century or so."
52,2,5,"TXT","6",0,0,"Destractloa of the Earth’s OaoM Layer. It’s well-known that the stratosphere’s layer of ozone, which absorbs much of the sun’s ultraviolet radiation, is steadily being destroyed by"
53,2,5,"TXT","6",0,0,"various effects of industrial society. These include nuclear testing, jet plane emissions, auto emissions, agricultural fertilizers and aerosol spray cans. Recently, careful measurements indicate that as much as 0.3 percent per year is being lost worldwide. At that rate, in less than 100 years it will be impossible to go outside when the sun is out. But long before that, perhaps in only 20 years, plankton will be unable to reproduce, throwing the Earth’s fo^ chain into chaos."
54,2,5,"TXT","7",0,0,"CoalamluatioB of Groaid Water. In the ’70s there was much publicity given to successful clean-up efforts of polluted lakes and rivers. The ’80s are bringing us a rude surprise: pollution (plus depletion) of ground water, though less visible than pollution of lakes and rivers, is a much more serious problem, in part because no one has any idea how to clean it up. The list of highly toxic chemicals which continue to find their way into our drinking water is incredibly alarming. By now almost every state has located serious ground water contamination. In California, Central Valley agriculture has caused major water problems, and even the supposedly “clean” Silicon Vidley microchip industry has severely polluted local water. Will life be tolerable in a world where the most readily available sources of water are too polluted to drink and perhaps even to wash in?"
