"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC"
2,1,0,"NP","0",0,0,"U. N I V E R Sl TY SAN LUIS"
3,1,0,"NP","0",0,0,"Musiang Daiiy"
4,1,0,"PI","0",0,0,"VOLUME 57, NO. 27 ★ FRIDAY, OCTOBER 30, 1992"
5,1,0,"PH","0",0,0,"It’s pumpkin time"
6,0,0,"NA","0",0,0,"—----"
7,0,0,"NA","0",0,0,"mn *."
8,0,0,"B","0",0,0,
9,0,0,"B","0",0,0,
10,0,0,"B","0",0,0,
11,0,0,"B","0",0,0,
12,0,0,"NA","0",0,0,"-'W'"
13,0,0,"B","0",0,0,
14,0,0,"NA","0",0,0,"*££"
15,0,0,"B","0",0,0,
16,0,0,"B","0",0,0,
17,0,0,"NA","0",0,0,"1"
18,0,0,"B","0",0,0,
19,0,0,"NA","0",0,0,"wmä"
20,0,0,"NA","0",0,0,"I >'"
21,0,0,"B","0",0,0,
22,0,0,"B","0",0,0,
23,0,0,"B","0",0,0,
24,0,0,"B","0",0,0,
25,0,0,"B","0",0,0,
26,0,0,"NA","0",0,0,"\"
27,0,0,"NA","0",0,0,"*4"
28,0,0,"NA","0",0,0,"! LäJ"
29,0,0,"B","0",0,0,
30,0,0,"B","0",0,0,
31,0,0,"B","0",0,0,
32,0,0,"B","0",0,0,
33,1,0,"PH","0",0,0,"PHOTOS BY STEVE PIERCE"
34,1,0,"PH","0",0,0,"Above, a member of the Pi Kappa Alpha fraternity helps with the pumpkin carving at the Children’s Center on campus. Below, little Stephanie Page Cox uses both hands to clean out her pumpkin."
35,1,3,"HL","0",0,0,"Rec center almost done; UEC plans to do student survey on alcohol sales"
36,1,3,"BL","0",0,0,"By Marla R. Van Schuyver"
37,1,3,"BL","0",0,0,"Staff Writer	_"
38,1,3,"TXT","1",0,0,"Cal Poly’s $14-million recreation center is 80 to 85 percent complete and is well ahead of its construction schedule, the ASI Board of Directors learned Wednesday."
39,1,3,"TXT","2",0,0,"Mike De Neve, ASI project coordinator, told the board that, although the contract did not call for construction to be completed until March 21, he expects the construction to be completed between late December and the middle of January."
40,1,3,"TXT","3",0,0,"Once construction is completed and control of the building"
41,1,1,"HL","0",0,0,"SNAP approved by board"
42,1,1,"HL","0",0,0,"Student policing program passes with little opposition"
43,1,1,"BL","0",0,0,"By Todd Hogan Staff Writer"
44,1,1,"TXT","1",0,0,"Student patrols may soon be on the streets as the ASI Board of Directors gave the go ahead Wednesday for peer policing in the San Luis Obispo community."
45,1,1,"TXT","2",0,0,"The Student Neighborhood Assistance Program, or ‘SNAP,’ was approved by directors on a 23 to 3 vote. The fate of the program now rests with the San"
46,1,1,"BQT","0",0,0,"“It’s a great opportunity for (students) and the community in general.’’"
47,1,1,"BQA","0",0,0,"Jim Gardiner SLO Police Chief"
48,1,1,"TXT","2",0,0,"Luis Obispo City Council."
49,1,1,"TXT","3",0,0,"The student patrol program is a joint venture between the San Luis Obispo Police Department and ASI to use students as inter-mediiiries between community complaints — usually involving loud parties — and the Police Department."
50,1,1,"TXT","4",0,0,"Ideally, student intervention would eliminate police involvement altogether, according to program officials."
51,1,1,"TXT","5",0,0,"“I’m very happy ASI approved the proposal,” said San Luis"
52,1,1,"TXT","5",0,0,"Obispo police Chief Jim Gardiner in a Thursday interview. “I think it’s a great opportunity for the student community and the community in general.”"
53,1,1,"TXT","6",0,0,"Once the proposal, or Bill 9301, is signed by ASI President Kristin Burnett, Gardiner will review the finalized proposal."
54,1,1,"TXT","7",0,0,"His staff will then “work out the nuts and bolts” with ASI, nailing down specifics on who does what, Gardiner said."
55,1,1,"TXT","8",0,0,"Finally, the proposal will go before the City Council with a staff report and recommendations for funding, Gardiner said. However, it isn’t likely to be brought before the council before January 1993, he added."
56,1,1,"TXT","9",0,0,"Gardiner is optimistic the progfram will be effective in San Luis Obispo once it is worked through a “break in period.”"
57,1,1,"TXT","10",0,0,"“I think (SNAP) will be seen as a positive thing in the community,” Gardiner said. “If it works like it does in other communities, (it) will free up police officers, help reduce cost to the city and, in conjunction with other programs, decrease noise complaints.”"
58,1,1,"TXT","11",0,0,"College of Business board member James Johnson-Hill, one of the three directors to vote against the program, disagreed, questioning the program’s effectiveness."
59,1,1,"TXT","12",0,0,"“I don’t think it will work in our community,” he said. “I realize it works in filinois, but it’s different here.”"
60,1,1,"TXT","13",0,0,"One of those differences is the structure of the campus. At the University of Illinois, Champaign — the model school for San Luis Obispo’s peer policing program — the campus is centralized. Most of the student housing areas patrolled by students is adjacent to the campus, according to Illinois Student Patrol officials."
61,1,1,"TXT","14",0,0,"“Our community just isn’t centralized enough” for the"
62,1,1,"BQT","0",0,0,"“I don’t think it wili work in our community. It works in Illinois, but it’s different here.”"
63,1,1,"BQA","0",0,0,"James Johnson-Hill Boarid member"
64,1,1,"TXT","14",0,0,"program to be effective, Johnson-Hill said."
65,1,1,"TXT","15",0,0,"The College of Engineering’s Jon Cristobal, who also voted against the proposal, said he believes the program gives to much authority to students."
66,1,1,"TXT","16",0,0,"“Student patrols are supposed to give out written warning cards” to noise offenders, he said."
67,1,1,"TXT","17",0,0,"“I’m not sure if SNAP patrols should have that kind of responsibility. That’s a police job.”"
68,1,2,"HL","0",0,0,"PolySCOPE picks candidates"
69,1,2,"HL","0",0,0,"Endorses Reiss for mayor; Settle, Petersen for council"
70,1,2,"BL","0",0,0,"By Brad Hamilton Staff Writer"
71,1,3,"TXT","3",0,0,"is relinquished to Cal Poly, it is expected it will take 45 days to complete the installation of e-quipment, said ASI Executive Director Roger Conway."
72,1,3,"TXT","4",0,0,"De Neve noted that most of the tiling and interior work in the building are done and the pool also is complete. Bleachers have been ordered and it will take 30 to 60 days to assemble them once they reach campus, he said."
73,1,3,"TXT","5",0,0,"He also said all facilities in the recreation center have been certified and are of proper specifications for NCAA competition."
74,1,3,"ME","0",8,0,"See ASI, page 8"
