"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFbRNIA POLYTECHNIC"
2,1,0,"NP","0",0,0,"UNIVERSITY SAN LUIS OBISPO"
3,1,0,"NP","0",0,0,"MusmNG Daiiy"
4,1,0,"PI","0",0,0,"VOLUME 57, NO. 61 ★ Thursday, January 28, 1993"
5,1,1,"HL","0",0,0,"Former student found dead in apartment"
6,1,1,"HL","0",0,0,"Man apparently shot himself; may have lain dead for days"
7,1,1,"BL","0",0,0,"By John Hubbell"
8,1,1,"BL","0",0,0,"and Marla R. Van Schuyver"
9,1,1,"BL","0",0,0,"Mustang Daily Staff___________"
10,1,1,"TXT","1",0,0,"The body of a local man who apparently committed siiicide in his apartment may have lain undiscovered for as long as a week."
11,1,1,"TXT","2",0,0,"Archie Coles, 21, died of a single 12-gauge shotgun wound to the chest. His body was found in the back upstairs bedroom of suite 150 of Valencia Apartments, located in the 500 block of Ramona Drive."
12,1,1,"TXT","3",0,0,"Coles was once an electrical engineering freshman at Cal Poly, and was last registered at the university in spring 1990. Cuesta College officials said Coles showed no record of enrollment there."
13,1,1,"TXT","4",0,0,"The estimated time of Coles’ death has not been released by police or sheriffs ofBcials pending further investigation."
14,1,1,"TXT","5",0,0,"“We’ll say that it was there over two days,” said San Luis Obispo Police Detective Steve Tblley. “'That’s a safe estimation.”"
15,1,1,"TXT","6",0,0,"But one Valencia resident who lived near Coles said Wednesday he believes the body may have gone undetected for up to a week."
