"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"UN IVERSITY SAN LUIS OBISPO"
2,1,0,"NP","0",0,0,"Musiang Daiiy"
3,1,0,"PI","0",0,0,"Volume 56, No. 51 ★ Wednesday, January 15, 1992"
4,0,0,"B","0",0,0,
5,0,0,"B","0",0,0,
6,0,0,"B","0",0,0,
7,0,0,"B","0",0,0,
8,1,1,"PH","0",0,0,"RAY SANCHEZ/Mustang Dally"
9,1,1,"PH","0",0,0,"Greg Thompson, an engineering technology senior, gets ready to ride a horse for credit. Thompson is enrolled in Animal Science 131, Beginning Western Riding."
10,1,1,"HL","0",0,0,"Students saddle western values"
11,1,1,"HL","0",0,0,"Beginning riding class at Poly draws large numbers"
12,1,1,"BL","0",0,0,"Hy Kelli Harris"
13,1,1,"BL","0",0,0,"Staff Writer"
14,1,1,"TXT","1",0,0,"The morning of Nov. 1 is like none other throughout the year, at least out at the Horse Unit’s Breeding Barn."
15,1,1,"TXT","2",0,0,"On this day, the barn is overrun by a slew of camped-out students, making the stone-floored building look more like a BASS ticket center than Cal Poly’s equine reproduction unit."
16,1,1,"TXT","3",0,0,"But the tickets these students are waiting for aren’t for any concert, but for the chance to enroll as one of 45 students in Animal Science 131, Beginning Western Riding."
17,1,1,"TXT","4",0,0,"“I thought I was going to be the only one out there at 3"
18,1,1,"TXT","4",0,0,"o’clock, but there was already a line by the time I got to the bam,” said Jamie Ramirez, a home economics senior, thinking back on that cold morning."
19,1,1,"TXT","5",0,0,"The class, only offered during winter quarter, fills up each year, despite a $150 lab fee."
20,1,1,"TXT","6",0,0,"Instructors Roger Hunt and Gene Armstrong have more than 45 years of combined experience teaching and working with horses."
21,1,1,"TXT","7",0,0,"This class has three sections, Tuesday and Thursday from 1 p.m. to 4 p.m. and Saturday 9 a.m. to noon; Monday, Wednesday, Friday 8 a.m. to 11 a.m.; and Monday, Wednesday, Friday 1 p.m. to 4 p.m. The three-unit class includes a"
22,1,1,"TXT","7",0,0,"textbook, homework assignments and hands-on experience."
23,1,1,"TXT","8",0,0,"“A lot of people do things for money,” said Armstrong, a 1966 Cal Poly animal science graduate. “But this is something I like to do. I’ve been around horses all of my life. I can never remember not being around livestock."
24,1,1,"TXT","9",0,0,"“Beginning Western Riding provides the opportunity to gain horse experience, which can be used in other animal science classes or just for pleasure,” Armstrong said."
25,1,1,"TXT","10",8,0,"The class teaches beginners and those with limited experience techniques for grooming, riding skills, care and feed-Scc RIDING CLASS, page 8"
26,1,2,"HL","0",0,0,"Director shares plan for ethnic studies"
27,1,2,"HL","0",0,0,"Focus on visibility, diversity to head program changes"
28,1,2,"BL","0",0,0,"By Julie Pacheco"
29,1,2,"BL","0",0,0,"Staff Writer"
30,1,2,"TXT","1",0,0,"His students at Northern Iowa State University knew him as Pawoko, a Native American name given to a captive Condor chick."
31,1,2,"TXT","2",0,0,"“Pawoko is a Chumash word that means first to leave the nest,” Pawoko said. “It’s a power word that I adopted for my students to use when they needed a little extra energy.”"
32,1,2,"TXT","3",0,0,"At Cal Poly, Pawoko is better known as Bob Gish, the university’s new director of the ethnic studies program."
33,1,2,"TXT","4",0,0,"Gish, who is of Native American heritage, left, his position at Northern Iowa after 25 years to come to San Luis Obispo."
34,1,2,"TXT","5",0,0,"“I was attracted to Cal Poly because I love the American West,” Gish said. “And how much further west can you go than California?”"
35,1,2,"TXT","6",0,0,"Tlie first thing Gish would like to do here is bring about educational equity."
36,1,2,"TXT","7",0,0,"“The American experience is a bunch of diverse experiences mingled together,” Gish said. “The stress of this program will be on the ethnic American culture. A community through diversity is the most desirable outcome.”"
37,1,2,"TXT","8",0,0,"Gish’s plans for changes in the Cal Poly curriculum include a general education requirement in ethnic studies."
38,1,2,"TXT","9",0,0,"Tb do this, Gish will be working closely with the General Education and Breadth Committee, co-chaired by political science professor John Culver."
39,1,2,"TXT","10",0,0,"“As of now we have not reached any final decisions,” Culver said. “Bob Gish, the GE&B"
40,1,2,"TXT","10",0,0,"Committee and a subcommittee for general education will work together to implement the courses.”"
41,1,2,"TXT","11",0,0,"Culver said he expects the ball to begin rolling for the ethnic studies program by the end of the quarter."
42,1,2,"TXT","12",0,0,"The program will focus on four different American cultural experiences, including African-American, Native American, Mexican-American and Asian-American."
43,1,2,"BQT","0",0,0,"“Although Cal Poly has not moved as far as it should, at least it is moving forward now.”"
44,1,2,"BQA","0",0,0,"Bob Gish, director of"
45,1,2,"BQA","0",0,0,"ethnic studies program"
46,1,2,"TXT","13",0,0,"Gish said the fact that Cal Poly is the last school in the CSU system to implement an ethnic studies program should not be looked upon negatively."
47,1,2,"TXT","14",0,0,"“Although Cal Poly has not moved as far as it should, at least it is moving forward now,” Gish said. “It’s important to accentuate the positive and move in that direction.”"
48,1,2,"TXT","15",0,0,"Along those lines, the next step, Gish said, will be to begin a program leading to a minor in ethnic studies and eventually work toward implementing a major."
49,1,2,"TXT","16",0,0,"Gish also plans to create an Ethnic Studies Committee that will communicate between faculty, students and the administration."
50,1,2,"TXT","17",0,0,"The problem with the ethnic studies program now is that it is not visible to most of Cal Poly’s students and faculty, Gish said."
51,1,2,"ME","0",3,0,"See ETHNIC STUDIES, page 3"
52,1,3,"HL","0",0,0,"Poly dean blasts government intervention in business"
53,1,3,"BL","0",0,0,"By Carol Boosembark"
54,1,3,"BL","0",0,0,"Staff Writer"
55,1,3,"TXT","1",0,0,"Cal Poly’s new dean of the School of Business, Bill Boyes, challenged members of a local women’s organization with some enlightening political beliefs during a lecture Monday evening."
56,1,3,"TXT","2",0,0,"With alarming statistics and fiery words, Boyes praised privatization and criticized the growth of governmental regulations and controls in America."
57,1,3,"TXT","3",0,0,"“What we are doing doesn’t make any sense,” Boyes said emphatically to the Five Cities-Pismo Beach Branch of the American Association of University Women. “We need to break the strangle"
58,1,3,"TXT","3",0,0,"hold of governmental control.”"
59,1,3,"TXT","4",0,0,"Specifically, Boyes singled out the governmental regulations on small businesses in California."
60,1,3,"TXT","5",0,0,"“Californians, there is a potential for losing what you have!” Boyes said."
61,1,3,"TXT","6",0,0,"Although California could be called the eighth-largest country in the world, this state is losing many small businesses each year."
62,1,3,"TXT","7",0,0,"“In California there is an antientrepreneur, anti-newcomer attitude with its ‘welcome stranger’ taxes, water rationing,” Boyes said."
63,1,3,"TXT","8",0,0,"The vast number of permits and regulations required for small businesses are making it impossible to make a living in"
64,1,3,"TXT","8",0,0,"California, he said."
65,1,3,"TXT","9",0,0,"Thrning to the regulations and controls exercised by the government nationwide, Boyes pushed for more privatization."
66,1,3,"TXT","10",0,0,"“Privatization doesn’t mean we get rid of it,” he said. “It just becomes more efficient.”"
