"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text; SH = section heading; OT = other text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"Mustang Daily"
2,0,0,"NA","0",0,0,"• i"
3,0,0,"NA","0",0,0,"»"
4,0,0,"NA","0",0,0,"il"
5,1,0,"NP","0",0,0,"California Polytechnic State University San Luis Obispo"
6,1,0,"PI","0",0,0,"Volume53^No^"
7,1,1,"HL","0",0,0,"King's dream is alive, says CSUS prof"
8,1,1,"BL","0",0,0,"By Sieve Harmon"
9,1,1,"BL","0",0,0,"Staff Writer___________________"
10,1,1,"TXT","1",0,0,"The dream of freedom for blacks in America is not something that died when Rev. Martin Luther King, Jr. was assassinated in Memphis 20 years ago."
11,1,1,"TXT","2",0,0,"The dreamer may be dead, but the dream is alive and well in the continued struggle for a nonracist America, a Cal State Sacramento professor said."
12,1,1,"TXT","3",0,0,"David Covin, professor of government and ethnic studies at Sacramento, spoke in the Cal Poly Distinguished Afro-American Lecture Series Thursday to a crowd of about 65."
13,1,1,"TXT","4",0,0,"Covin painted a disturbing picture of 1963 America. Imagine being assaulted knowing that whoever assaulted you would not be punished. Imagine having to pay full fare for a bus trip but not being able to sit down. Imagine being restricted or barred from using public facilities. Imagine not being able to vote."
14,1,1,"TXT","5",0,0,"Blacks in this country (especially in the South) have not had to imagine the above racist policies, they’ve lived under them for a large part of this nation’s 200 years. Covin said."
15,1,1,"TXT","6",0,0,"In short, they were excluded from the constitutional guarantees of the rights to life, liberty and the pursuit of happiness."
16,1,1,"TXT","7",0,0,"“If you can be beaten, raped or even killed without legal redress"
17,1,1,"TXT","7",0,0,"—	as black people routinely were"
18,1,1,"TXT","7",0,0,"—	then you do not have citizenship rights,’’ Covin said."
19,1,1,"TXT","8",0,0,"“In the South, there would be signs at public restrooms — ladies, gentlemen and colored. Jim Crow was the law of the land,” Covin said, referring to the term used to describe discrimination against Negroes."
20,1,1,"TXT","9",0,0,"“Bigots ruled in pulpits all across the country,” Covin said. “Racial violence was the order of the day; racial attacks on college campuses:	a conservative ad-"
21,1,1,"TXT","9",0,0,"ministration occupied the White House:	individualism reigned"
22,1,1,"TXT","9",0,0,"supreme and Americans were obsessed with their material well-being — just like today.”"
23,1,1,"TXT","10",0,0,"Covin focused his presentation on the movement and the man, choosing to make King’s birthday a cause for progress and not just remembrance."
24,1,1,"TXT","11",0,0,"“Nobody was prepared to say in public that this was a racist, oppressive, exploitive society,” Covin said. “King did that: he established the moral agenda of his day."
25,1,1,"TXT","12",0,0,"“It is important to reflect on"
26,1,1,"ME","0",10,0,"See KING, page 10"
27,1,0,"PI","0",0,0,"Wednesday. January 18.1989"
28,1,2,"HL","0",0,0,"Tenacious art student rewarded for his effort"
29,1,2,"BL","0",0,0,"By Michelle Di Simone"
30,1,2,"BL","0",0,0,"Slatl Wrtiar"
31,1,2,"TXT","1",0,0,"Being runner-up for last year’s Poly Royal poster contest just wasn’t good enough."
32,1,2,"TXT","2",0,0,"That’s why art and design major Malt Faye decided he was going to win First place in this year’s contest."
33,1,2,"TXT","3",0,0,"“After last year, I was bent on winning,” Faye said, “and I set out to do just that.”"
34,1,2,"TXT","4",0,0,"The 2S-year-old junior said he couldn’t even begin to describe the amount of lime it took him to construct the winning poster."
35,1,2,"TXT","5",0,0,"“It was a lot of work,” Faye said, “but it’s going to be worth it."
36,1,2,"TXT","6",0,0,"“I almost dropped my other classes in a trash can just to get it done!”"
37,1,2,"TXT","7",0,0,"First prize included $I(X) cash and lunch at F. McLintock’s in Shell Beach."
38,1,2,"TXT","8",0,0,"“The prize is nothing compared to the poster I’ll have in my hands,” Faye said."
39,1,2,"TXT","9",0,0,"He described the prize as “Fame, fortune and recognition — and my own poster! They could have had a swift kick in the pants for a prize and I would have worked just as hard.”"
40,1,2,"TXT","10",0,0,"The last few posters have been loo graphic-oriented, Faye said."
41,1,2,"TXT","11",0,0,"“I wanted to be more illustrative,” he said. “I wanted to show diversity and the different majors on campus.”"
42,1,2,"TXT","12",0,0,"Faye’s poster portrays the theme of the 57ih annual Poly Royal. “Unity Through Diversity.” It is constructed in 3-D, made from cut cansón paper. The reproductions, however, will have shadows to show depth instead of the original 3-D, Faye said."
43,1,2,"TXT","13",0,0,"“I had to do a poster I could afford,” Faye said. ”1 always wanted to do a paper sculpture, and it was cheap."
44,1,2,"TXT","14",0,0,"“I’m really enthusiastic about having won. For an art and design major, getting a poster printed isa big deal.”"
45,1,2,"ME","0",8,0,"See POSTF.R, page 8"
46,0,0,"NA","0",0,0,"	\j^ed 0^.		20	22"
47,1,0,"AT","0",0,1,"	""Women For America	The Nuclear Threat And Peace	Teace ConcerT Live Music.	""A World Apart."""
48,1,0,"AT","0",0,1,"	For The World-Academy Award	Activism -A Video Festival.""	(TBA)	This award winning film is about the struggle against"
49,1,0,"AT","0",0,1,"	vWtning film arxf	Twelve videos that	Check newspaper	apartheid in South"
50,1,0,"AT","0",0,1,"	presentation by Vivienne Verdón-	deal with the issues of nuclear threat and	or attent other Peace Week activities for	Africa."
51,1,0,"AT","0",0,1,"	Roe. film director. Chumash Auditorium. $5 public: $3 students. 7:30 p.m.	peace activism. Bishop Lounge, UU 220 Free Event 10 a.m. -4 p.m.	concert information.	Rainbow Theater Tickets; $5 1 p.m."
52,1,0,"HL","0",0,0,"City seeks answers for housing crunch"
53,1,0,"BL","0",0,0,"By Tara Giambalvo"
54,1,0,"BL","0",0,,"staff Writar"
55,1,2,"TXT","1",0,0,"San Luis Obispo city planners are asking Cal Poly and Cuesta College students to help them find an answer to the student housing crunch."
56,1,2,"TXT","2",0,0,"The city is trying to increase housing for students as well as for families in its General Plan update, said City Planner Gary Price Thursday at the Student/ Community Liaison Committee meeting."
57,1,2,"TXT","4",0,0,"But the planners must know what students want in order to provide housing."
58,1,2,"TXT","3",0,0,"“It seems that students prefer single-family houses away from campus,” Price said."
59,1,2,"TXT","5",0,0,"But other city residents prefer that students seek single-family houses close to campus or multiple-family housing downtown, he said."
60,1,2,"TXT","5",0,0,"City Planner Dave Moran said a survey may be used to solicit"
61,1,2,"TXT","6",0,0,"student ideas because the city has “underdeveloped or vacant properties that may be used for student housing.”"
62,1,2,"TXT","7",0,0,"Ideas are needed soon because city planners are formulating new student housing guidelines for the General Plan update, he said."
63,1,2,"TXT","8",0,0,"In the meantime, to prevent problems between students and other city residents, a brochure promoting neighborliness is in the works."
64,1,2,"TXT","9",0,0,"The brochure will be published jointly by Associated Students, Inc., and the city, said Jeff Schumacher, vice chair of the liaison committee."
65,1,2,"TXT","10",0,0,"The brochure will cover such potential problems as party planning, trash, noise and parking, he said."
66,1,2,"TXT","11","6",0,"The brochure will be distributed to Cal Poly, Cuesta College, local high schools and various city locations and Sec LIAISON, page 6"
67,1,3,"HL","0",0,0,"Bowling buffs return after reopening of lanes"
68,1,3,"BL","0",0,0,"By MIchcHe Bouckct"
69,1,3,"BL","0",0,0,"Statt wm*r"
70,1,3,"TXT","1",0,0,"After three years of silence, the thunder of bowling balls rolling down lanes and crashing into pins can again be heard in the University Union."
71,1,3,"TXT","2",0,0,"The Mustang Lanes bowling alley officially reopened last Thursday. Two referendums and months of debate and discussion preceded the opening."
72,1,3,"TXT","3",0,0,"Tom Lebens, ASI president, said at the ceremony, “I voted against the bowling alley three times which shows that the students are the ones who actually decide what goes into this building.”"
73,1,3,"TXT","4",0,0,"The students seem pleased with their decision so far, said Marcus von Engel, student manager of the bowling alley. On Friday and Saturday nights, bowlers sometimes wait 30 minutes to get a free lane, he said. With Backstage Pizza also open, more students are slaying on campus for entertainment, he added."
74,1,3,"TXT","5",0,0,"The bowling alley closed three years ago because it was losing about $30,000 a year, said John Stipicevich, ASI interim assistant director for operations and"
75,1,3,"TXT","5",0,0,"management. ASI considered several proposals concerning the use of the space occupied by the bowling alley, said Tony Celebrini, chairman of the University Executive Committee."
76,1,3,"TXT","6",0,0,"During the 1986 Spring Quarter, the issue eventually came before the students, who voted to use the space for a Fitness center. Plans were being drawn up for the Fitness center, said Celebrini, when the Bowler’s Coalition began a petition to pul the issue before the siudmis again. The coalition, a group of students hoping to keep the bowling alley intact, got the issue on last spring’s ballot."
77,1,3,"TXT","7",0,0,"That time the Fitness center was defeated and renovations on the bowling alley began."
78,1,3,"TXT","8",0,0,"“I fell that the bowling alley was the best use of the space and that the students really wanted it,” said Bowler’s Coalition Chairman Dave Garrido. ”l’m glad to see it open after all the work put into it.”"
79,1,3,"TXT","9",0,0,"Leagues are now being formed and the Cal Poly bowling team has started try-outs. The physical education department will offer bowling classes next quarter."
80,1,4,"HL","0",0,0,"Research contest underway"
81,1,4,"BL","0",0,0,"By Marcus von Engel"
82,1,4,"BL","0",0,0,"Contributing Wntor"
83,1,4,"TXT","1",0,0,"Cal Poly students have an opportunity to receive statewide recognition and a monetary award for their research projects."
84,1,4,"TXT","2",0,0,"“The Third Annual CSU Student Research Competition is now getting under way at the campus level,” said Bob Lucas, associate vice president for graduate studies, research and faculty development."
85,1,4,"TXT","3",0,0,"All undergraduate or graduate"
86,1,4,"TXT","3",0,0,"students currently enrolled at Cal Poly as well as alumni who received their degrees in spring, summer or fall 1988 may apply."
87,1,4,"TXT","4",0,0,"“There are nine categories ranging from behavioral sciences to physics and mathematics,” Lucas said. “Each school may nominate four students."
88,1,4,"TXT","5",0,0,"“The competition is a two-step process. All interested students need to first go to their major departments for the necessary information and deadlines. The"
89,1,4,"ME","0",10,0,"See RESEARCH, page 10"
90,0,0,"NA","0",0,0,"I"
91,0,0,"NA","0",0,0,"('"
92,0,0,"NA","0",0,0,"!t"
93,0,0,"NA","0",0,0,"II"
94,0,0,"NA","0",0,0,"I)"
95,0,0,"NA","0",0,0,"It"
96,0,0,"NA","0",0,0,"I)"
97,0,0,"NA","0",0,0,"II"
98,0,0,"NA","0",0,0,"M"
99,0,0,"NA","0",0,0,"It"
100,2,0,"SH","0",0,0,"Opinion"
101,2,0,"MH","0",0,0,"Wednesday , January 18, 1989 Mustang Daily"
102,2,0,"MH","0",0,0,"Mustang"
103,2,0,"MH","0",0,0,"Daily"
104,2,0,"MH","0",0,0,"The newspaper for Cal Poly."
105,2,0,"MH","0",0,0,"Since 1916"
106,2,0,"MH","0",0,0,"April Karys, editor Anna Cekola, managing editor Alison Skratt, managing editor Coleen Bondy, opinion editor Terry Lightfoot, sports editor Donna Taylor, spotlight editor Nicole Jones, insight editor Shelly Evans, lifestyle editor Dawn Opstad, commentary editor K.M. Cannon, photo editor Amber Wisdom, asst, photo editor Peggy Yeyna, business manager Jacqueline Tasch, faculty adviser"
107,2,0,"SH","0",0,0,"Letters to the Editor"
108,2,5,"HL","0",0,0,"UU invaded by Littering shows high school kids a poor attitude"
109,2,5,,"1",0,0,"Fditor — On Jan. 15 I entered the UU v\ith books in hand and homework to complete. 1 was greeted by a couple hundred high school students participating in the debate contest being held this past weekend."
110,2,5,"TXT","2",0,0,"These students had taken up every inch of the UU including Bishop’s I.ounge where 1 normally study. 1 approached the UU manager to inquire about a room for studying, and she told me that every room was occupied by high school students, and the only room available was occupied by a person using the computer."
111,2,5,"TXT","3",0,0,"Tell me, is it fair that we pay S51 a quarter and S204 per year on University Union fees not to have a room to study in when there is a special group?"
112,2,5,"TXT","4",0,0,"The UU management should rethink its policies when this event occurs."
113,2,5,"BL","0",0,0,"Julie Champlin"
114,2,6,"HL","0",0,0,"Disinterested and uninformed"
115,2,6,"TXT","1",0,0,"Editor — In regards to the march (Jan. 12) in commemoration of Dt. Martin I uther King, Jr. and “the dream,” I want to express two things. One, the most important, is that of joining together and sharing. Although the manner of expression varied among the marchers, some laughed and chatted while others were solemn, I had the feeling of sharing a common purpose."
116,2,6,"TXT","2",0,0,"This good feeling was carried over to the UU Pla/a, in spite of the drone of people on the fringe of the pla/a who were not interested. This brings my second impression. Perhaps they were unable to appreciate what was happening. Perhaps they failed to recogni/e the significance of Dr. King, or the importance of this exercise in humanity."
117,2,6,"TXT","3",0,0,"Or, perhaps they lacked the fundamental ability to respect others and their views, some of which might just be new or different. If they had been quiet, they might have been enlightened a little."
118,2,6,"BL","0",0,0,"Andrea Olson"
119,2,7,"HL","0",0,0,"The male-female cold war"
120,2,8,"TXT","1",0,0,"Editor — As 1 strolled through the UU courtyard just before dawn on Jan. 1.1, 1 was appalled at the awful mess there. Cans, cups, plates, napkins, notebook paper, kleenex, etc. were haphazardly strewn everyw here."
121,2,8,"TXT","2",0,0,"Do we as students of Cal Poly want to give visitors to our campus the impression that we don’t give a damn about our environment?"
122,2,8,"TXT","3",0,0,"Come on then. Quit taking it for granted that there’s always going to be someone around to pick up after you. Those who have gone before us have perhaps paid insufficient attention to the effects their actions have had on our environment, hence all the ecological problems we are faced with today."
123,2,8,"TXT","4",0,0,"We are here to learn how we can improve our world through our work, and through the attainment of new knowledge (or are we?). Littering is more than a behavior. It is symbolic of the attitude of an entire generation, which says, ""Live it up and let someone else take care of the mess.”"
124,2,8,"TXT","5",0,0,"If we pay attention to the little ""pollution” problems now, we will be prepared for the bigger cleanup problems facing us tomorrow. I think we really care, so let’s shape up. The alternative is a world full of Mexico Cities or worse."
125,2,9,"BL","0",0,0,"Matt Stephens Electrical Engineering"
126,2,9,"HL","0",0,0,"Separatism is not the answer"
127,2,9,"TXT","1",0,0,"Editor — Rarely do we have occasion to read the Daily twice before washing the windows with it. The Jan. 10 edition was an exception. Chris Thomas’ column “A dream is just a dream” required quite some thought and this response."
128,2,9,"TXT","2",0,0,"Thomas clearly is an eloquent and intelligent person, and a good writer. Under the presumption of discussing Dr. King, he discusses integration as an escape from blackness, and a sign of insanity. He follows this with a call for action to create an"
129,2,7,"TXT","1",0,0,"My coffee mug says Save the Males."
130,2,7,"TXT","2",0,0,"Once upon a time, men roamed the earth and dominated the world, and it was good (for the men)."
