"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text; SH = section heading; OT = other text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO"
2,1,0,"NP","0",0,0,"MusmNG Daiiy"
3,1,0,"PI","0",0,0,"(XTOBER4, 1995"
4,1,0,"PI","0",0,0,"WEDNESDAY"
5,1,0,"PI","0",0,0,"VOLUME LX, No. 9"
6,1,1,"HL","0",0,0,"over! O.J. freed"
7,1,1,"BL","0",0,0,"ly Undo Dwtsdi"
8,1,1,"BL","0",0,0,"Asocioted Piess"
9,1,1,"TXT","1",0,0,"LOS ANGELES — He never wore chain! in court, but as O.J. Simpson heard the words *Not guilty,” his was the face of a prisoner removing his shackles, a captive breathing the air of freedom."
10,1,1,"TXT","2",0,0,"He sighed, pressed his hands together and smiled as a tide of emotions engulfed the courtroom of Judge Lance Ito. The wails of a victim’s relatives and the joyous gasps of Simpson’s mother, sisters and grown children broke the tense silence that preceded the reading of the jury’s ver> diet IViesday."
11,1,1,"TXT","3",0,0,"For a moment, the judge’s clerk, Dierdre Robertson, had moved from her supporting role to the spotlight as she was called upon to read the two verdict forms. She stumbled on Simpson’s first name, Oren-thal, betraying the same nervousness that gripped everyone in the courtroom."
12,1,1,"TXT","4",0,0,"Hers was the task of breaking a suspense which had intensified during 19 hours of cliff-hanger waiting for the verdicts to be announced. The two climactic words fell lightly from her lips but resonated with the power of a megaton bombshell: “Not guilty.”"
13,1,1,"TXT","5",0,0,"Simpson was now set free to pick up a life of privilege instead of a life in prison. Acquitted of murdering his ex-wife and her friend, he pledged to track down the real killers who are “out there somewhere.”"
14,1,1,"TXT","6",0,0,"Simpson smiled, mouthed the words, “Thank you,” at the jury, then clasped his hands together. Lead attorney Johnnie Cochran Jr., standing behind Simpson, slapped him on the back and laid his forehead on his shoulder. Attorney Shawn Chapman cried and clutched jury consultant Jo-Ellan Dimitri us’ hand."
15,1,1,"TXT","7",0,0,"Tears of anguish and shouts of joy burst"
16,1,1,"TXT","7",0,0,"from the three families whose lives were tom apart by the bloody June 12, 1994, slayings of Nicole Brown Simpson and Ronald Goldman."
17,1,1,"TXT","8",0,0,"“Oh my God!” exclaimed Simpson’s grown daughter, Amelle, embracing her brother Jason."
18,1,1,"TXT","9",0,0,"“We did it!” a family member exulted to lead defense attorney Johnnie Cochran Jr."
19,1,1,"TXT","10",0,0,"Eerily, the Simpson saga ended much as it had begun, with the fidlen football superstar being transported in a white van to"
20,1,1,"PH","0",0,0,"OJ. Simpson clenches his Rsh in victory after the jury said on Tuesday he was not guilty in rders of his ax-wife Nicole Brown Sinr^sson and her friend Ronald Goldman / As-"
21,0,0,"NA","0",0,0,"nuir"
22,1,1,"PH","0",0,0,"the nuirders or his ex-wira iNicoie Drown Dimpsi sodotad Press photo courtesy of the San Luis Ooispo County Telegrcun-Tribuna"
23,1,1,"TXT","10",0,0,"his estate while news helicopters tracked him overhead. Ibesday’s televised verdicts were the most-watched event since June 17,1994, when Simpson, in a white Bronco with his friend A1 “A.C.” Cowlings driving, led police on a surreal slow-speed chase viewed by millions."
24,1,1,"TXT","11",0,0,"Cowlings was at the door to embrace Simpson when he arrived home about one hour after the verdicts were read. Later, family members gathered for a party on the lawn of Simpson’s lush estate."
