"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","Hurley"
49,1,1,"TXT",5,0,0,"When Morris came to Cal Poly four years ago, he said he looked like â€˜â€˜yoiir average regular high"
50,1,1,"TXT",5,0,0,"school student who was becoming a freshman â€"
51,1,1,"TXT",6,0,0,"Soon after entering Cal Poly, Morris went through a transformation in his life."
52,1,1,"TXT",6,0,0,"â€˜â€˜1 donâ€™t know whether it has to do with dorm-life breeding, though the one I was in was a zoo,â€ he said. ""College turned out to be the whole difference High school was a sort of incubation period."
53,1,1,"TXT",7,0,0,"In high school you basically knew everyone, you led a very stable lifestyle. Then in college, you hear all the myths about the different people, and you're out there living"
54,0,0,"B",0,0,0,
55,1,0,"NA",0,0,0,"oaCl' *^**Wm*"
56,1,1,"TXT",7,0,0,"with them-itâ€™s different,â€ Morris said."
57,1,1,"TXT",8,0,0,"One of the major differences in Morrisâ€™ life was the style of music he began listening to."
58,1,1,"TXT",9,0,0,"1 was into every band in high school-Zeppelin, Van Halen, Aerosmith and Journey to name a few.â€ He said. Mainly I was listening to them because everyone else was listening to them. Then a few bands caught my ear and I really liked what 1 was listening to.â€"
59,1,1,"TXT",10,0,0,"He began to listen to bands such as the Sex Pistols These hands, who were labeled punk rock, approached world concerns and questioned society."
60,1,1,"TXT",11,0,0,"â€œThey were addressing these problems, whereas the others were still singing about the same old stuff-all about love and how my baby left me and"
61,1,1,"TXT",11,0,0,"how I got my baby back,â€ Morris said."
62,1,1,"TXT",12,0,0,"Soon after discovering these bands, Morrisâ€™ life was transformed. He got his haircut and slowly began to dress â€œdifferently from others.â€"
63,1,1,"TXT",13,0,0,"He recalls, â€œWhen I showed up at Cal Poly, 1 got the haircut. 1 could count the number of people who looked like me on two fingers."""
64,1,1,"TXT",14,0,0,"After the change in his lifestyle, Morris noticed a change in the attitudes of people on and off campus."
65,1,1,"TXT",15,0,0,"Everyone just started staring at me as though 1-"
66,1,1,"TXT",15,0,0,"was a stranger. 1 donâ€™t think 1 was any different. 1 wasn't out to say screw youâ€™ Iâ€™m going to look different."
67,1,1,"TXT",16,0,0,"â€œIt just pleases me, "" he said. I wasnâ€™t out to make any type of statement like â€˜Well, here 1 am,â€™ wasnâ€™t trying to please anyone but me. 1 liked it. It pleases me. Before I try to please or displease anyone,â€”Iâ€™m going tp please me. â€ Morris said."
68,1,1,"TXT",17,0,0,"He began to notice people stereotyping him."
69,1,1,"TXT",18,0,0,"1 couldnâ€™t understand why. When 1 first got the haircut and the clothes, people were very vocal. 1 couldnâ€™t understand why. Theyâ€™d say things like â€˜you godamn punker,â€™â€™â€™ he said."
70,1,1,"TXT",19,0,0,"â€œI just couldnâ€™t figure that out. If I was walking down the street and saw the strangest person on the earth, I donâ€™t think I would"
71,1,1,"TXT",20,0,0,"start calling them names.â€ Morris said he found many people who thought of his lifestyle as ""wild and crazy.â€"
72,1,1,"TXT",21,0,0,"You really get a lot of hypocritical analogy-stuff like punkers beat people up is one of the major stereotypes,â€ he said, 1 can't say that it's not all true, but a lot of it isn't.â€ Morris recalls a time when a member from a motorcycle gang came up to him and began â€œscreaming in my ear about what he thought of me.â€ â€œ"
73,1,1,"TXT",22,0,0,"He added, ""Iâ€™ve been pushed around because of"
74,1,0,"NA",0,0,0,"...i."
75,0,0,"B",0,0,0,
76,2,0,"PI",0,0,0,"MuttangOaNy ftonday, Jaauary 17.1M9"
77,2,1,"HL",0,"BACK PAGE",0,"Students react to different"
78,2,1,"TXT",23,"BACK PAGE",0,"the way I look, but my reaction to it is to act like it never happened. People are expecting a reaction- that I am going to fight back.â€ The number of people who have changed their lifestyle to that of a punker's has grown. Whether it's a fad or fashion, Morris doesnâ€™t know."
79,2,1,"TXT",25,"BACK PAGE",0,"type of thing.â€"
80,2,1,"TXT",26,"BACK PAGE",0,"Because of his punk-lifestyle, Morris knows people view him differently. He knows that when he does start looking for a job things will be different."
81,2,1,"TXT",27,"BACK PAGE",0,"If I were to work on a newspaper or such. Iâ€™m sure I would have to look the way a journalist is supposed to look,â€ he said."
82,2,1,"TXT",24,"BACK PAGE",0,"It depends on the individual. I donâ€™t dislike what people do...itâ€™s their lifestyle,â€ he said. People are seeing things out there, and some of them are there just foUowing-the-leader"
83,2,1,"TXT",28,"BACK PAGE",0,"He added, â€œIâ€™d be just as comfortable dressing in"
84,2,1,"TXT",29,"BACK PAGE",0,"that way. Iâ€™ll still think the same, I realize that. I have even had instructors who have gone out of their way to tell me that I may have to conform. I lead a lifestyle, but Iâ€™ll have to conform to the dress.â€ ""Most employers want to hire a nice, responsible person, and I guess responsible goes into the looks"
85,2,1,"TXT",29,"BACK PAGE",0,"and dress,â€™â€™ Morris said."
86,2,1,"TXT",30,"BACK PAGE",0,"Although people think Morris seems strange because of his lifestyle, he said, ""I donâ€™t feel at all like a revolutionistâ€”though I 've been blasted by a lot of people because of the way I look."
87,2,1,"TXT",31,"BACK PAGE",0,"People think Iâ€™m strange, but I just think they look stranger, he add- ' ed. Iâ€™m not saying that what everyone elM is doing is wrong, but I donâ€™t think that what Iâ€™m doing is wrong either.â€"
88,2,1,"BL",0,0,0,"SmII drawiiifs by Jill KiiacMc, staff artist"
89,2,1,"BL",0,0,0,"Itâ€™s just a choice, something that Iâ€™ve decided to do. â€"
90,2,1,"BL",0,0,0,"Editorâ€™s note: The"
91,2,1,"BL",0,0,0,"reporter was unable to find more willing people to talk about their experiences as â€œpunkers.â€"
92,2,0,"AT",0,0,0,"READING PILING UP ON YOU?"
93,2,0,"AT",0,0,0,"Don't set left behind because there is ""too much to read/'"
94,2,0,"NA",0,0,0,"V''"
95,2,0,"AT",0,0,0,"Weâ€™D show you how to:"
96,2,0,"AT",0,0,0,"â€¢ Raise your srade point avcrase, and have more free time for yourself."
97,2,0,"AT",0,0,0,"â€¢ Read 3 to 10 times faster and with better comprehension."
98,2,0,"AT",0,0,0,"â€¢ End all-nisht cramming sessions."
99,2,0,"AT",0,0,0,"â€¢ Do all your studying in 1/3 the time itâ€™s now taking you."
100,2,0,"NA",0,0,0,"Tods^"
101,2,0,"NA",0,0,0,"And"
102,2,0,"AT",0,0,0,"Tomorrow"
103,2,0,"AT",0,0,0,"Attend a Free Introductory Lesson"
104,2,0,"AT",0,0,0,"â€¢ Increase your reading speed dramatically on the"
105,2,0,"AT",0,0,0,"â€¢ spot."
106,2,0,"AT",0,0,0,"â€¢ Learn about advanced study techniques."
107,2,0,"AT",0,0,0,"COME SEE US TODAY!"
108,2,0,"AT",0,0,0,"under all those books?"
109,2,0,"AT",0,0,0,"SCHEDULE OF FREE LESSONS"
110,2,0,"AT",0,0,0,"LOCATION Sands Motel 1930 Monterey St."
111,2,0,"AT",0,0,0,"San Luis Obispo"
112,2,0,"AT",0,0,0,"MON 1/17 5:00 PM and 7:00 PM TUES 1/18 5:00 PM and 7:00 PM"
113,2,0,"AT",0,0,0,"Choose The Day And Time Most Convenient For You. Reservations Are Not Necessary. For Further information, Caii 1-800-272-3585"
114,2,0,"AT",0,0,0,"EVUVN WOOD REAOine DVNAMICS"
115,3,0,"PL",0,0,0,"Mustang 0Â«Ny Monday. January 17, ItiS"
116,2,0,"PL",0,0,0,"Pagas"
117,2,2,"HL",0,0,0,"Sun powers Diablo concert"
118,2,0,"NA",0,0,0,"A"
119,2,0,"NA",0,0,0,"â– V.J"
120,2,0,"NA",0,0,0,"\"
121,2,0,"NA",0,0,0,"\"
122,2,0,"NA",0,0,0,"N"
123,3,2,"PH",0,0,0,"Jesse Colin Young Raitt in a benefit Theatre Feb. 6"
124,3,2,"PH",0,0,0,"will perform with Bonnie concert at the Fremont"
125,3,2,"TXT",1,0,0,"People Generating Energy and The Media Project present Bonnie Raitt and Jesse Colin Young in an acoustic performance at the Fremont Theatre at 7 pjn. on Sunday, Feb.6. Lights and sound for the â€œWe Donâ€™t Need Diabloâ€ concert will be powei^ entirely by the sun."
126,3,2,"TXT",2,0,0,"Bonnie Raitt and Jesse Colin Young have actively supported People Generating Energy (P.G.E.) in their opposition to the Diablo Canyon â€˜nuclear power plant. The musicians are donating their time and energy to the benefit concert because they firmly believe nuclear power is intolerable and unnecessary."
127,3,2,"TXT",3,0,0,"Their support over the past six years at rallies and concerts has helped P.G.E. promote alternative energies."
128,3,2,"TXT",4,0,0,"Said Bonnie Raitt in an interview, â€œStopping nuclei power is not just another cause; itâ€™s a necessity.â€"
129,3,2,"TXT",5,0,0,"The performersâ€™ musical talent and their strong conunitment to social justice and the environment has placed them among this decadeâ€™s top recording artists. Bonnie Raittâ€™s new band and her eighth album, â€œGreenlightâ€, have been greeted with much enthusiasm."
130,3,2,"TXT",6,0,0,"Iâ€™ve been trying to find a way to combine my musical career with interest in bringing about political change,â€ said Raitt."
131,3,2,"TXT",7,0,0,"Solar Genny One, a mobile electric generator which will provide lights and sound for the concert, was designed and built by Solarwest Electric in Santa Barbara."
132,3,2,"TXT",8,0,0,"Genny One is owned and operated by two national solar advocacy groups, â€™The Solar Lobby and the Center for Renewable Resources based in Santa Monica."
133,3,2,"TXT",9,0,0,"The two groups sponsor The Media Project to educate people on how they can use solar energy and conservation. The unit generates all its electricity from sunlight. â€™The electricity is stored in batteries and converted to AC power."
134,3,2,"TXT",10,0,0,"Concert proceeds will be to continue educating and organizing the conununity on the dangers inherent in the use of nuclear power and the beneficial use of alternative energies."
135,3,2,"TXT",11,0,0,"'Tickets for the acoustic-solar concert are $11 and are on sale at Boo Boo Records, Cheap Thrills, Steveâ€™s Bromeliads in Ba3rwood Park, and the People Generating Energy office at 452 Higuera St. For more information caU 543-8402 or 543-6614."
136,3,3,"HL",0,0,0,"Students invited to enter contest"
137,3,3,"TXT",1,0,0,"California university and college students are invited to submit entries to the 1983 Great California Resource Rally poster contest."
138,3,3,"TXT",2,0,0,"â€™The Rally, scheduled for April 18-24, is designed to encourage Californians to become involved in recycling, litter control, waste reduction and other waste-efficient activities in their neigfaborhoods and recreation areas as solutions to Californiaâ€™s growing garbage crisis, â€™^e RaUy and the poster contest are sponsored by the California Waste Management Board â€” the state agency responsible for initiating and encouraging litter con-"
139,3,3,"TXT",2,0,0,"trol, recycling and other environmentally-sound waste disposal practices."
140,3,3,"TXT",3,0,0,"Poster designs should highlight the theme of the Rally and must include the name, â€œThe Great California Resource Rally,â€ and the date, â€œApril 18-24, 1983.â€ Compl^ contest rules can be obtained from the art department or by contacting Steve Kolb of the California Waste Management Board at (916) 322-1391 or Kathryn"
141,3,3,"TXT",3,0,0,"Cleary of Solem and Associates at (415) 957-0967."
142,1,0,"NA",0,0,0,"__ V"
143,3,3,"TXT",4,0,0,"The poster contest offers non-professional artists the opportunity to gain statewide recognition and exposure for their artwork, in addition to cash awards being offered. â€™The winning poster will be reproduced, distributed and displayed throug^ut the state to help promote the 1983 Great California Resource"
144,3,3,"TXT",4,0,0,"*RaUy. Winners will be announced at a special news conference in late February or early March."
145,3,3,"TXT",5,0,0,"Cash prizes of $7(X), 8300 and $200 will be awarded to the top three poster contestants. All entrees must be postmarked no later than Friday, Feb. 18,1983, and should be sent to Steve Kolb, California Waste Management Board, 1020 Ninth Street, Suite 300, Sacramento. CA 95814."
146,3,4,"HL",0,0,0,"Nutntionprogram informs students"
147,3,4,"BL",0,0,0,"by Mary Hennesay SlaHWftWf"
148,3,4,"TXT",1,0,0,"Food is a word that is easily digested by most Cal Poly students. ''"
149,3,4,"TXT",2,0,0,"Yet many donâ€™t realize that the nutrition education program at the Health Center is designed to help them get the most out of what they eat."
150,3,4,"TXT",3,0,0,"â€œWe are an information service,â€ said Brenda Groves, supervisor of nutrition education. â€œWe want to help students become in tune with tliemselves and their bodies.â€"
151,3,4,"TXT",4,0,0,"The program involves one-to-one counseluig sessions with 12 nutrition educators available daily from 9 a.m. to noon. 'The student decides the subject to be discussed, but the program specializes in weight loss and gain, on-campus dining halls, nutrition for athletes, basic nutrition, consumerism and vegetarianism. â€™There is also a weekly weight control support group from 7 to 8 p.m. on We^esdays."
152,3,4,"TXT",5,0,0,"â€œEighty percent of the students that come in are in for weight loss,â€ Groves said."
153,3,4,"TXT",6,0,0,"Once a student has filled out an assessment form, an educator will put the student on a program or diet that fits his or her individual needs."
154,3,4,"TXT",7,0,0,"â€œThe assessment form tells us why an individual eats what he eats,â€ said Maryanne Painter, nutrition educator. â€œIt covers everything from family background to favorite foods.â€"
155,3,4,"TXT",8,0,0,"â€™The student is also given a commitment card if he or she is involved in a specialized program. The card is designed to be a motivator: On it are short-term goals for the week that the student and educator have chosen."
156,3,4,"TXT",9,0,0,"â€™The nutrition education program has been at Cal Poly for five years. All of the educators are volunteer dietetics majors."
157,3,5,"HL",0,0,0,"Fellowships"
158,3,5,"TXT",1,0,0,"SACRAMENTO - Senate Rules Committee Chairman David Roberti, D-Los Angeles, has announced that February 1, 1983 is the deadline for applicants to the 1983-84 Senate Fellowship Program."
159,3,5,"TXT",2,0,0,"Roberti, also President Pro Tempore, urged potential applicants to make their applications as soon as possible for earliest consideration."
160,3,5,"TXT",3,0,0,"â€™The nine-month Program begins in Sacramento the first week of November, 1983. A Fellowâ€™s tenure can be extended up to three additional months."
161,3,5,"TXT",4,0,0,"Fellowships are awarded by the Senate Rules Committee after an initial screening of applications and a subsequent panel interview. Only twelve fulltime paid Fellowships are available."
162,3,5,"TXT",5,0,0,"College graduation by the commencement of the Fellowship is required."
163,3,5,"TXT",6,0,0,"Senate Fellows are assigned to the personal or committee staffs of the Senate members. Responsibilities include legislative research and bill analysis, constituent casework, and other administrative duties."
164,3,5,"TXT",7,0,0,"Application forms and information brochures are available through college and university Career Planning and Placement offices, or from the district office of the applicantâ€™s Senator. Additional information and application forms can be obtained by contacting the Senate Fellowship Program Office, State Capitol, Suite 400, Sacramento, CaUfomia, 95:814. 'The telephone number is (916) 445-4311."
165,3,0,"AT",0,0,0,"WPMSK!)"
166,3,0,"AT",0,0,0,"SPECIAL"
167,3,0,"AT",0,0,0,"PROQRAMMINQ"
168,3,0,"AT",0,0,0,"OPEN CHANNEL"
169,3,0,"AT",0,0,0,"WEDS-7PM"
170,3,0,"AT",0,0,0,"PSYCHIATmST WILL TALK ABOUT PHOBIAS"
171,3,0,"AT",0,0,0,"KCPA TALK RADIO"
172,3,0,"AT",0,0,0,"WED S:15Â«PM A U8TENER - CALL-IN PROGRAM"
173,3,0,"AT",0,0,0,"{FUTURE SHOCK"
174,3,0,"AT",0,0,0,"FRI 7-ePM"
175,3,0,"AT",0,0,0,"Music of the ao's"
176,3,0,"AT",0,0,0,"AND BEYOND..."
177,3,0,"AT",0,0,0,"ALBUM REVIEW"
178,3,0,"AT",0,0,0,"SUNSSPM"
179,3,0,"AT",0,0,0,"ARTIST PHIL COLUNS' LATEST RELEASE-â€œHELLO, I MUST SE QOINQâ€"
180,3,0,"AT",0,0,0,".AND MUCH MUCH MOREI"
181,3,0,"AT",0,0,0,"Architecture Majors say"
182,3,0,"AT",0,0,0,"WOODSTOCKâ€™S has found the Perfect Pizza Design!"
183,4,0,"AT",0,0,0,"C/5"
184,4,0,"AT",0,0,0,"fj"
185,0,0,"B",0,0,0,
186,4,0,"AT",0,0,0,".U ^"
187,4,0,"AT",0,0,0,"'o ^"
188,0,0,"B",0,0,0,
189,4,0,"AT",0,0,0,"CO"
190,4,0,"AT",0,0,0,"j"
191,4,0,"AT",0,0,0,"CN"
192,4,0,"AT",0,0,0,"1015 Court Street S.LO. 541-4420"
193,4,0,"AT",0,0,0,"/"
194,4,0,"PL",0,0,0,"PaoÂ» 4"
195,4,0,"PL",0,0,0,"Mustang DaHy Monday, January 17,19M"
196,0,0,"B",0,0,0,
197,4,0,"NA",0,0,0,"sssa"
198,4,0,"AT",0,0,0,"396 Marsh St."
199,4,0,"AT",0,0,0,"IS Inc"
200,4,0,"AT",0,0,0,"Come See Our Care!"
201,4,0,"AT",0,0,0,"If you donâ€™t see what you want,"
202,4,0,"AT",0,0,0,"NEW or USED Weâ€™ll find It!"
203,4,0,"AT",0,0,0,"And We Finance Students ."
204,4,0,"AT",0,0,0,"Have A Ml Buying a Car"
205,4,0,"AT",0,0,0,"Ã."
206,0,0,"B",0,0,0,
207,4,0,"AT",0,0,0,"iritiÃ¯iiÃ¯i'iyii'ii"
208,0,0,"B",0,0,0,
209,4,0,"AT",0,0,0,"id"
210,4,0,"AT",0,0,0,"Xi-i"
211,4,0,"AT",0,0,0,"IB"
212,4,0,"AT",0,0,0,". ATTENTION"
213,4,0,"AT",0,0,0,"ENGINEEMNO A ORAFTINO STUDENT^"
214,4,0,"AT",0,0,0,"MAGNETIC TECHNOLOGY IS QROWINQ ,"
215,4,0,"AT",0,0,0,"JOIN US NOW"
216,4,0,"AT",0,0,0,"W* hav* immwHat* opaning* lof machanical dratM paraon who aro capabtaof progiaaalng Into daalgnoflanglnaot poaltlona."
217,4,0,"AT",0,0,0,"Wa ara tha lachntcal laader in lha daaign and production ol diract driva alactric control motors and tachomatara lor madical. computar, and aaroapaoa uaa."
218,4,0,"AT",0,0,0,"THIS POSITION WILL ALLOW YOU TO:"
219,4,0,"AT",0,0,0,"*Ba involvad In naw product daaign and davalopmant."
220,4,0,"AT",0,0,0,"'Work diraclly lor our anginaaring ntanagar."
221,4,0,"AT",0,0,0,"*Ba givan luH company banahta. including llnancial assiatanoa towards complating your coHaga dagraa."
222,4,0,"AT",0,0,0,"'Work In a Waat Vallay location"
223,4,0,"AT",0,0,0,"THE QUALIFIED PERSONS SHOULD HAVE:"
224,4,0,"AT",0,0,0,"'Minimum ol 1 yaar ol collaga crsdlts In anginaarlngMralllng maiors. 'Equivalant work axpanancs can ba substituted lor collaga. 'Complallon ol mathamatics through trIgorKMnatry."
225,4,0,"AT",0,0,0,"FOR IMMEDIATE INTERVIEW call Bruce Pichlar At M7-7700 MAGNETIC TECHNOLOGY 21001 KITTRIDGE ST CANOGA PARK CA. B1303"
226,4,0,"AT",0,0,0,"An equal opportunity employer"
227,4,0,"AT",0,0,0,"SPAGHETTi 2 fori"
228,4,0,"AT",0,0,0,"JANUARY SPECIAL"
229,4,0,"AT",0,0,0,"Enjoy two great spaghetti dinners with spaghetti, saiad, and gariic bread for iow price of one dinner!"
230,4,0,"AT",0,0,0,"The"
231,4,0,"AT",0,0,0,"CREST"
232,0,0,"B",0,0,0,
233,4,0,"AT",0,0,0,"j"
234,4,0,"AT",0,0,0,"XDRPY NO TAKE OUT ORDERS"
235,4,0,"AT",0,0,0,"TUES. NIGHTSI"
236,4,0,"AT",0,0,0,"11am*9pfn"
237,4,0,"AT",0,0,0,"544>7330"
238,4,0,"AT",0,0,0,"tseeesoaaasa"
239,4,0,"AT",0,0,0,"Keep on top of the news... Read the"
240,4,0,"AT",0,0,0,"Mustang Daily"
241,4,0,"AT",0,0,0,"weekdaVs"
242,4,0,"AT",0,0,0,"1/17/83-1/23/83"
243,4,0,"AT",0,0,0,"' â–  UMSUiOl"
244,4,0,"AT",0,0,0,"I Dacoraltira Painting I A Study In tha Word"
245,4,0,"AT",0,0,0,"IMI You"
246,4,0,"AT",0,0,0,"Mowing Stwtch â€¢ Woiaaar Room"
247,4,0,"AT",0,0,0,"â€¢;30"
248,4,0,"AT",0,0,0,"i (T) Jimmy Swaggart I CNN HaadHna Ni lOahary"
249,4,0,"AT",0,0,0,"Nawt"
250,4,0,"OT",0,0,0,7:00
251,4,0,"OT",0,0,0,7:30
252,4,0,"OT",0,0,0,"â€¢:00"
253,4,0,"OT",0,0,0,"â€¢:30"
254,4,0,"OT",0,0,0,"10:001"
255,4,0,"OT",0,0,0,"I (121 Prica la Right"
256,4,0,"OT",0,0,0,"lÃ¡ii"
257,4,0,"OT",0,0,0,"fi Macoui WaSiy, M. 0. IF/tÂ»l Ara You Anybody?"
258,4,0,"OT",0,0,0,"lH/211 My I......."
259,4,0,"OT",0,0,0,"I For Tomorrow"
260,4,0,"OT",0,0,0,"in) m Rywt'p H Ã† Sootcn For T MocNoM Lohror I"
261,4,0,"OT",0,0,0,"IF/tOl â€˜Youi* Mag. lor Woman lH/21) Voilod Programa"
262,4,0,"OT",0,0,0,"tsmmÃ²if--------"
263,4,0,"OT",0,0,0,"13:Â«S"
264,4,0,"OT",0,0,0,"â€¢I"
265,4,0,"OT",0,0,0,"I AimouncAd"
266,4,0,"OT",0,0,0,"S 16/201 VarioA Programa CNN Noam ."
267,4,0,"OT",0,0,0,"(9 CSS Eoity Morning"
268,4,0,"OT",0,0,0,"lEl AN-Doy Moaloo"
269,4,0,"OT",0,0,0,"iF/i9l CoHopo ChNdronâ€™a"
270,4,0,"OT",0,0,0,"Programs"
271,4,0,"OT",0,0,0,"lH/211 BaWo for tha Family 0 919 CBS Early Morning"
272,4,0,"OT",0,0,0,"I ChSdron rUvM"
273,4,0,"OT",0,0,0,"MacNdd Lohror Roport Varlod Pogroms Bugs Bunny/Porky Pig Emotgoacy 4 10(19 CeS Morning Nowa I O Good Morning Amorica a) Today 700 Ckib Businaaa Roport Froozlos"
274,4,0,"OT",0,0,0,"Woody Woodpockar _ Mighty Mouso"
275,4,0,"OT",0,0,0,"IF/191 Soiwa"
276,4,0,"OT",0,0,0,"I0/20I E8M SportsContor"
277,4,0,"OT",0,0,0,"SVoga ForlMth Thoro Is A Way Hociila and Jocklo/ Popoyo Hour"
278,4,0,"OT",0,0,0,"O Mr- Rogora' Nolghiior-hood"
279,4,0,"OT",0,0,0,"O JVn Bakkar 0 FHntatonoa lF/191 Womanâ€™s Day USA O Laava n to Baavor O Elactric Company 0 Muppol Show,"
280,4,0,"OT",0,0,0,"O Wait tU VourTathor Gala"
281,4,0,"OT",0,0,0,"I Sanyo iHQtt Sanio lar tho Fandly ISrSt fio (9 Aa Iha WOiM Tumo nTWIigM Zana 1 Variad Programa,"
282,4,0,"OT",0,0,0,"Opon Una"
283,4,0,"OT",0,0,0,"IdÂ» OrrOOnaUfatoLIvs AÃ±oUiar Warid"
284,4,0,"OT",0,0,0,"S-A1Aâ€”a-a- ^--Â« -"
285,4,0,"OT",0,0,0,"nncivCOCN p*f9MnÂ«s liwtruclional Programa Oular Umita [f/191 Ahva a WsW lH/211 Anadiar Ufa O (9CapMol HNchcack Pra santa"
286,4,0,"OT",0,0,0,"Announcod e"
287,4,0,"OT",0,0,0,"'=3** O O (9 Cat â–  HNchcack B To Ba Anr â€¢ Nasra"
288,4,0,"OT",0,0,0,"1^211 BuHâ€™sl m (9 Guiding Ã¦ o Ganara) Fantasy"
289,4,0,"OT",0,0,0,"Light"
290,4,0,"OT",0,0,0,"Hospital"
291,4,0,"OT",0,0,0,2:30
292,4,0,"OT",0,0,0,3:00
293,4,0,"OT",0,0,0,"lF/191 Coronatian Stroot iH/211 Anothor Ufa 9:00 e O (9 Naw $2SJ)00 ^ramid"
294,4,0,"OT",0,0,0,"Q Ã‡I) o Richard Simmons O 3J Donahuo"
295,4,0,"OT",0,0,0,"Â§A. M. Loa Angolas Soaamo Stroot Jack Lo Lanno and You IS Taka 2"
296,4,0,"OT",0,0,0,"S Sil Million DoHar Man Graat Spaco Coastar If I9l USA Movie lG/201 Vanod Programs Ih/21 I Movie 9:30 O ChM't Play"
297,4,0,"OT",0,0,0,"Cl Morning Show Couplos Midmoming (12 On the Coaet BowMchod"
298,4,0,"OT",0,0,0,3:30
299,4,0,"OT",0,0,0,4:00
300,4,0,"OT",0,0,0,"â–  "
301,4,0,"OT",0,0,0,0
302,4,0,"OT",0,0,0,"3 c â€¢ Announcements"
303,4,0,"OT",0,0,0,"C â€¢ Buying"
304,4,0,"OT",0,0,0,"0 â€¢ For Sale"
305,4,0,"OT",0,0,0,"(0 â€¢ Help Wanted"
306,4,0,"OT",0,0,0," â€¢ Personals"
307,4,0,"OT",0,0,0," â€¢ Renting"
308,4,0,"OT",0,0,0,"<D â€¢ Ridesharing"
