"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP",0,0,0,"Mustang Dally"
2,1,1,"PH",0,0,0,"Kerns"
3,0,0,"B",0,0,0,
4,1,2,"BL",0,0,0,"by Jenny Coyle staff Wiltaf"
5,1,2,"TXT",1,0,0,"Calculators and mechanical pencils are sharing space lately with literary masterpieces in the backpacks of some Cal Poly engineering majors."
6,1,2,"TXT",2,0,0,"They are men and women with technical majors going for something extra in the English department minor program. Approximately one-third of the 65 English minors at Cal Poly are engineering majors, according to Michael Orth, coordinator and advisor for the year-old program."
7,1,2,"TXT",3,0,0,"Sometimes the load of 27 additional units costs those students an extra quarter or two, but for a variety of reasons they feel the investment of time and effort is worth it."
8,1,2,"TXT",4,0,0,"""Some students feel an English major is not a viable option career-wise, but in engineering they are thirsting in a desert of numbers,"" Orth said. ""For those students. English"
9,1,2,"TXT",4,0,0,"classes are a refreshing change.”"
10,1,2,"TXT",5,0,0,"Then, too, there is the potential career leverage the minor might give an engineering major."
11,1,2,"TXT",6,0,0,"""The English minor may also give students more flexibility in their profession,"" said Orth. ""TTiere is a problem with illiteracy in business and industry. There is room for people who can write a report or make sense of what others may have written."""
12,1,2,"TXT",7,0,0,"Robert Valpey, Dean of the School of Engineering and Technology, agrees with Orth."
13,1,2,"TXT",8,0,0,"""In any and every business. including engineering, the need for communication skills stands out as absolutely essential for advancing in one's career,"" said Valpey."
14,1,2,"TXT",9,0,0,"""Where an English minor may aid in honing those communiction skills, then it is indeed a valuable thing to have,"" he said."
15,1,2,"TXT",10,0,0,"The course requirements within the English minor"
16,1,1,"HL",0,0,0,"Book damage caused by snacking in library"
17,1,1,"PH",0,0,0,"Mustang DaSy—Amy Cgban"
18,1,1,"PH",0,0,0,"Food in the library can cause damage to books and eventually lead to expensive fumigation."
19,1,2,"HL",0,0,0,"English: a minor for all mayors"
20,1,2,"TXT",10,0,0,"includes Shakespeare, American and Victorian literature, advanced composition and English grammar. '"
21,1,2,"TXT",11,0,0,"The program, which started winter quarter of 1982, is drawing about 20 sign-ups each quarter, but Orth said he’d be happy to see 200 more in the program."
22,1,2,"TXT",12,0,0,"At least three of the engineering majors see the career benefits and the change of pace from their major as reasons for minor-ing in English."
23,1,2,"TXT",13,0,0,"Roger Hand, a senior Electronic Engineering major said he became aware of the minor program through posters in the English building."
24,1,2,"TXT",14,0,0,"""1 looked at the classes 1 would have to take, and found out I would have taken most of them out of interest anyway. If I wasn't interested in English in the first place, I"
25,1,2,"ME",0,2,0,"PI«aM see p«g« 2"
26,1,1,"BL",0,0,0,"by Frank Van Brocklin SlaHWfUer"
27,1,1,"TXT",1,0,0,"Students eating habits cause many problems for the library, the director of the Robert E. Kennedy Library said."
28,1,1,"TXT",2,0,0,"David Walch said crumbs left by snacking students attract silverfish: small wingless insects."
29,1,1,"TXT",3,0,0,"If students mix food into books while studying, silverfish may move into the books and generate, he said. This requires expensive fumigation to correct."
30,1,1,"TXT",4,0,0,"Libraries take many steps to preserve their collections such as a controlled climate."
31,1,1,"TXT",5,0,0,"Walch said food mixed in with books multiplies the problem of deterioration."
32,1,1,"TXT",6,0,0,"Library furniture also falls victim to student dining. Students often spill coffee and other drinks on the couches and carpet in the library, Walch said. He said students also stick"
33,1,1,"TXT",6,0,0,"chewing gum under table tops and in cracks between couch cushions."
34,1,1,"TXT",7,0,0,"Students eating while studying abuse library books outside of the library as well."
35,1,1,"TXT",8,0,0,"Walch said the worst case of food stains he has seen at Cal Poly was a book which had been returned laced with ketchup."
36,1,1,"TXT",9,0,0,"Students have gone far in breaking library rules against consuming food there. One student ordered a pizza and had it delivered to the library, he said."
37,1,1,"TXT",10,0,0,"— Walch said students tend to eat in the library more in the evening, but eating starts in the morning with cups of coffee brought into the building."
38,1,1,"TXT",11,0,0,"Students can solve the problems of food damage to library facilities best by doing their eating outside of the library, Walch said."
39,1,1,"TXT",12,0,0,"Students caught eating in the library will be asked"
40,1,1,"TXT",12,0,0,"to finish their food outside or to throw it away, he said."
41,1,1,"TXT",13,0,0,"""Fortunately I’ve never encountered a student who did not cooperate when confronted with the problem,"" Walch said."
42,1,1,"TXT",14,0,0,"""If there was an attitude of belligerence, we would call security."
43,1,1,"TXT",15,0,0,"The size of the library makes food control difficult, Walch added."
44,1,1,"TXT",16,0,0,"With five stories and 2,300 student study spots, a full-time employee would be needed to police the library, he said."
45,1,1,"TXT",17,0,0,"Walch said the library staff tries to catch people with food as they enter the library, but with an average of 5,000 students entering each day, stopping the majority of violators is doubtful."
46,1,1,"TXT",18,0,0,"Walch said he would welcome a student volunteer group to help supervise but has not planned such a group as of yet."
47,1,3,"HL",0,0,0,"Students process Poly milk"
48,1,3,"BL",0,0,0,"by Kristen Simon StaH Wrilar"
49,1,3,"TXT",1,0,0,"With 5,000 gallons of milk and over 400 pounds of cheese being processed every week, the Cal Poly Dairy Processing Plant is certainly a busy little place."
50,1,3,"TXT",2,0,0,"The plant is operated by 25 students, 23 are Dairy Manufacturing majors, and supervised by two foremen and one general manager."
51,1,3,"TXT",3,0,0,"The plant handles all the Foundation’s milk and byproducts, fills orders from Williams Brothers markets, and stocks the shelves of the campus store."
52,1,3,"TXT",4,0,0,"The students work part-time between classes, and have weekends off. Their typical day begins t 6 a.m., but Mondays they must report to work by 4:30 a.m."
53,1,3,"TXT",5,0,0,"""By 2 o’clock you are nodding off in your classes,"" according to Randall Dei, one of the foremen of the plant."
