"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
1,1,0,"NP",0,0,0,"Mustang Daily"
2,0,0,"NP",0,0,0,"( iiüturiiia INtl\lcchiii( Slalr l iii\frsil\. San l.uis()bis|)»»"
3,1,0,"PI",0,0,0,"Volume 49, No. 97"
4,1,0,"PI",0,0,0,"Monday, April 15,1985"
5,1,1,"HL",0,0,0,"U.S. policy in Central America inconsistent"
6,0,0,"NA",0,0,0,"«Ri"
7,1,0,"HL",0,0,0,"Reporter tells firsthand views of fighting,civil war"
8,0,0,"B",0,0,0,
9,1,1,"PH",0,0,0,"Raymond Bonner, a New York Times reporter in El Salvador, spoke to a crowd"
10,1,1,"PH",0,0,0,"JIM ADAMS/Muttang Daily"
11,1,1,"PH",0,0,0,"of 400 at Cal Poly about his feelings on the U.S. involvement in Central America"
12,1,2,"HL",0,0,0,"Attack imminent, say men in Reservoir Canyon case"
13,1,2,"BL",0,0,0,"By THOMAS WILLIAMS"
14,1,2,"BL",0,0,0,"Staff Writer"
15,1,2,"TXT",1,0,0,"Police reports released to the public revealed that the four men indicted on murder charjies in the shooting death of a man in Reservoir Canyon l)elieved that they were under attack the morning of the killing"
16,1,2,"TXT",2,0,0,"Joseph K; Leonard. Krik J. Nelson, both Cal Poly students, Timothy R Ryan, a PC-diK employee and David K Rund, a previous F’oly student currently enrolled at Cuesta College, were charged with the murder of Mariano Francisco Rey, a Vietnam War veteran described by police as a transient."
17,1,2,"TXT",3,0,0,"Dorian Hawkins was sharing"
18,1,2,"TXT",3,0,0,"the campsite with Rey and is believed to be the only witness to the shooting. Hawkins told police that he awoke before the shooting started and heard voices across the creek"
19,1,2,"TXT",4,0,0,"""They said Shut up or you'll wake those guys up.' "" Hawkins told police. Thinking it was some friends coming to visit. Hawkins lit a candle and then a flury of shots flew into the campsite, he said. Hawkins told police that he then yelled, ""I'll kill you I'll kill you """
20,1,2,"TXT",5,0,0,"In the reports, Rund told police that he thought he heard a gunshot aimed at them after Hawkins' shoutsawid they all hit the ground for cover. He said he"
21,1,2,"TXT",5,0,0,"thought they had stumbled onto some marijuana growers."
22,1,2,"TXT",6,0,0,"The four men told police they thought they were under attack and waited there for about 90 minutes, until things quieted down"
23,1,2,"TXT",7,0,0,"They fired several shots before walking out of the canyon to let people know they were coming out. Rund told police"
24,1,2,"TXT",8,0,0,"Rey died from a 22 caliber bullet wound to the head Sixteen pellets from a 12-guage shotgun were also found in Rev's skull, reports said"
25,1,2,"TXT",9,0,0,"Rund told piolice that Nelson had a .22 rifle and Ryan had a .44-caliber pistol."
26,1,1,"BL",0,0,0,"By KRISREHER"
27,1,1,"BL",0,0,0,"Staff Writer"
28,1,1,"TXT",1,0,0,"Abolishing leftist governprients is the bottom line of the U.S. policy in Central America, a former New York Times reporter told a crowd of about 400 people Thursday night in Chumash Auditorium."
29,1,1,"TXT",2,0,0,"Raymond Bonner, one of the first American journalists to report from behind the guerrilla lines in El Salvador, feels the United State's involvement in El Salvador is based on political ideologies."
30,1,1,"TXT",3,0,0,"""Forget about commercial economic interest or national security.” Bonner said. “W/e have no national reasons to go into El Salvador. The whole thing is based on ideology."""
31,1,1,"TXT",4,0,0,"Bonner's book. ""Weakness and Deceit — U.S. Policy in El Salvador, "" recently on the Robert F. Kennedy Book Award, documenting the evolution of U.S. policy toward El Salvador. Bonner said the U.S. response to Nicaragua is to overthrow the Sandinistas, or have them ""cry uncle,"" Bonner said, quoting President Reagan in a recent press conference."
32,1,1,"TXT",5,0,0,"Bonner described the U.S backed Contras as originally a band of misfits. ""The CIA took a rag-tag group of bandits and developied a very tough guerilla army, "" Bonner said. ""W'e've trainned them, given them equipment and even a manual in assassination."""
33,1,1,"TXT",6,0,0,"President Reagan called the Contras freedom fighters, but Bonner said he had some problems equating the Contras with America's founding fathers. ""1 don't recall the founding fathers raping and pillaging villages, slitting people's throats or having manuals to hire criminals to assassinate people."""
