"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC STATE (JNIVERSITY SAN LUIS OBISPO"
2,1,0,"NP","0",0,0,"Musing Daiiy"
3,1,0,"PI","0",0,0,"VOLUME 56, NO. 20 ★ Wednesday, October 23, 1991"
4,0,0,"B","0",0,0,
5,0,0,"NA","0",0,0,"•'É"
6,1,1,"PH","0",0,0,"University of Northern Iowa professor Bob Gish has accepted the position of director of the ethnic studies program at Cal F^ly."
7,1,0,"OT","0",0,0,"AS I names task force"
8,1,0,"OT","0",0,0,"ASI has announced the members of the IRA Referendum Task Force. The task force’s goal is to educate students about the upcoming sports referendum. Bruce Sherman, ASI marketing coordinator, is the group’s chairman. TTie 10-member student group meets every Thursday until the November election, Sherman said."
9,1,0,"OT","0",0,0,"Other members include: Bart Walker, recommended by the agribusiness department; Chris Frotinger, recommended by the statistics department; Dyana Wong, a home economics senior who volunteered for the group; Gabe Joynt, ASI Finance Committee member; Joe LaRosa, recommended by the agribusiness department; Kristin Burnett, a member of the ASI Executive Staff; Margaret Mitchell, a Poly women’s basketball player; Rex Smith, recommended by the business department; and Tim Kraus, a former member of the Poly Royal Board."
10,1,0,"OT","0",0,0,"IRA REFERENDUM TASK FORCE"
11,1,0,"OT","0",0,0,"Bruce Sherman, Chairman"
12,1,0,"OT","0",0,0,"ASI Marketing Coordinator"
13,1,0,"OT","0",0,0,"Bart Walker"
14,1,0,"OT","0",0,0,"Agribusiness Department"
15,1,0,"OT","0",0,0,"Chris Frothinger"
16,1,0,"OT","0",0,0,"Statistics Department"
17,1,0,"OT","0",0,0,"Dyana Wong"
18,1,0,"OT","0",0,0,"Home Economcs major Gabe Joynt ASI Student Relations"
19,1,0,"OT","0",0,0,"Joe LaRosa"
20,1,0,"OT","0",0,0,"Agribusiness major"
21,1,0,"OT","0",0,0,"Kristin Burnett Member of IRA Board"
22,1,0,"OT","0",0,0,"Margaret Mitchell"
23,1,0,"OT","0",0,0,"Member of Block P Tim Kraus"
24,1,0,"OT","0",0,0,"Former member of Poly Royal Board"
25,1,0,"OT","0",0,0,"Rex Smith"
26,1,0,"OT","0",0,0,"Business department"
27,1,1,"HL","0",0,0,"Iowa professor hired as director of ethnic studies"
28,1,1,"HL","0",0,0,"Scholar/writer to implement Poly program"
29,1,1,"BL","0",0,0,"By Carolyn E. Nielsen"
30,1,1,"BL","0",0,0,"Staff Writer____________________"
31,1,1,"TXT","1",0,0,"After a nationwide search. Cal Poly has hired a director for its ethnic studies program."
32,1,1,"TXT","2",0,0,"Bob Gish, an English professor from the University of Northern Iowa, was selected from three finalists and has accepted an offer to fill the new position on campus."
33,1,1,"TXT","3",0,0,"“He is really philosophically committed to this program. He was my personal choice of the three candidates interviewed. He is an excellent teacher and a University Distinguished Scholar in Iowa,” said Sidney Ribeau, dean of the School of Liberal Arts."
