"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,,,"NP",,,,"CALIFORNIA POLYTECHNIC"
2,1,0,"NP","0",0,0,"UNIVERSITY SAN LUIS OBISPO"
3,1,0,"NP","0",0,0,"Musiang Daily"
4,1,0,"PI","0",0,0,"VOLUME 57, NO. 94	★ TUESDAY, APRILS, 1993"
5,1,1,"HL","0",0,0,"Equality measure passed"
6,1,1,"HL","0",0,0,"Bill to help equalize funding for women’s sports"
7,0,0,"B","0",0,0,
8,0,0,"B","0",0,0,
9,0,0,"B","0",0,0,
10,0,0,"B","0",0,0,
11,0,0,"NA","0",0,0,"i	■ I -f"""
12,0,0,"B","0",0,0,
13,0,0,"NA","0",0,0,"M;':"
14,1,1,"BL","0",0,0,"By Sharon Wiebe"
15,1,1,"BL","0",0,0,"Staff Writer"
16,1,1,"TXT","1",0,0,"The Senate Education Committee has passed a measure that may require all CSU campuses to show that their ratio of female to male athletes equals their ratio of female to male enrollment."
17,1,1,"TXT","2",0,0,"The legislation, SB 262, was introduced in late March by Sen. Gary Hart (D-Santa Barbara) because of evidence that women do not have equal opportunities to participate in intercollegiate athletic programs."
18,1,1,"TXT","3",0,0,"“Women make up half of the school population, but only"
19,1,1,"TXT","3",0,0,"about 30 percent of athletics,” said Karin Caves, a spokesperson for Hart."
20,1,1,"TXT","4",0,0,"Caves said that the 30 percent participation rate corresponds approximately to the amount of funding that women’s sports receives. She said the new legislation should help to equalize the amount of funding that women’s and men’s athletics receive."
21,1,1,"TXT","5",0,0,"“This bill won’t create additional funding,” she said. “What will change is the share (of money). Women will get a bigger share.”"
22,1,1,"TXT","6",0,0,"Many of the same equal opportunity requirements out-"
23,1,1,"TXT","6",0,0,"lined in SB 262 are similar to those found in Title DC, a federal equal opportunities law. What is different about SB 262, Caves said, is that it sets speciflc dates at which the requirements must be met."
24,1,1,"TXT","7",0,0,"“Title DC is more vague,” she said. “It requires that ‘progress be made’ toward equality, whereas SB 262 sets drop dead dates.”"
25,0,0,"B","0",0,0,
26,0,0,"B","0",0,0,
27,0,0,"NA","0",0,0,"mi"
28,0,0,"NA","0",0,0,"I IBif^"
29,0,0,"B","0",0,0,
30,0,0,"NA","0",0,0,"'-Í"
31,0,0,"B","0",0,0,
32,0,0,"B","0",0,0,
33,0,0,"B","0",0,0,
34,0,0,"NA","0",0,0,"-J* «"
35,0,0,"NA","0",0,0,"\ : t"
36,1,1,"BQT","0",0,0,"“This bill won’t create additional funding. What will change is the share (of money). Women will get a bigger share.”"
37,1,1,"BQA","0",0,0,"Karin Caves, spokesperson for Sen. Gary Hart"
38,0,0,"B","0",0,0,
39,1,1,"PH","0",0,0,"SHERRY GURTLER/Mustang Dally"
40,1,1,"PH","0",0,0,"The legislation would assure equal funding for women’s sports."
41,0,0,"NA","0",0,0,"m"
42,0,0,"B","0",0,0,
43,0,0,"NA","0",0,0,"I"
44,0,0,"B","0",0,0,
45,0,0,"NA","0",0,0,"♦til"
46,1,1,"PH","0",0,0,"STEVE PIERCE/Muatang Dally"
47,1,1,"PH","0",0,0,"The bill would affect the amount of money given to men’s teams."
48,1,1,"TXT","8",0,0,"Although it will not be affected by SB 262, Stanford University has made steps toward promoting more e-quality between men and women. The university is planning to add women’s teams, increase the number of women’s scholarships and improve facilities for women."
49,1,1,"TXT","9",0,0,"According to Cal Poly Ath-letic Director John McCutcheon, 68 percent of those involved in athletics at Cal Poly are men while 32 percent are women. Fifty-seven"
50,1,1,"TXT","9",0,0,"percent of Cal Poly’s enrollment is male, and 43 percent is female."
51,1,1,"TXT","10",0,0,"McCutcheon said some of the same steps taken at Stanford have been taken at Cal Poly over the past few years."
52,1,1,"TXT","11",0,0,"“We’ve added women’s soccer this year,” he said, “which creates another area of participation for women. We’ve also increased the scholarships and operating costs for women and, conversely, decreased them for men.”"
53,1,1,"TXT","12",0,0,"Some sports directors here feel the new bill is not needed at Cal Pbly, mostly because it simply repeats goals outlined in Title IX."
54,1,1,"TXT","13",0,0,"“The state law is a reaffirmation of Title DC,” McCutcheon said. “Basically (the goals in SB 262) are goeds that we’ve been progressing toward already. It"
55,1,1,"TXT","13",0,0,"won’t change the things we do here very much.”"
56,1,1,"TXT","14",0,0,"Women’s volleyball coach Craig Cummings said he thought Cal Poly’s women’s sports doesn’t need much adjustment — at least in his area."
57,1,1,"TXT","15",0,0,"“In my opinion, in comparison to other universities. Cal Poly does quite well,” Cummings said. “But I don’t know everyone’s situation or specifically how scholarships are allotted in other departments and campuses."
58,1,1,"TXT","16",0,0,"“Women’s volleyball is considered a major sport here — we’re well taken care of.”"
59,1,1,"TXT","17",0,0,"If SB 262 passes, schools within the CSU system will have until the 1998-99 academic year to meet the requirements, the most major one l^ing the equal percentages rule."
60,1,2,"HL","0",0,,"New democracy in Russia: a rough road to travel"
61,1,2,"HL","0",0,,"Cal Poly entrepreneur, professor, give perspectives on life in new democracy"
62,1,2,"BL","0",0,,"By Silas Lyons"
63,1,2,"BL","0",0,0,"Staff Writer"
64,1,2,"TXT","1",0,0,"For years, it was America’s greatest fear. The Russians were coming. There was a Red under every bed."
65,1,2,"TXT","2",0,0,"“It’s so easy to live our lives under stereotypes,” said Cal Poly political science graduate Vince Battaglia. “Then you don’t have to think.”"
66,1,,"TXT","3",0,0,"Battaglia, who returned last week from a six-month stay in Russia, feels the time-honored stereotype no longer fits. “We shouldn’t be afraid of that country any more,” he said. “I was in the Metro and there were some Russians there all wrapped up with their caps and coats singing ‘Have a Coke and a smile’ in really bad English.”"
67,1,2,"TXT","4",0,0,"Most recently, however, with military cutbacks in"
