"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"California Polytechnic State University San Luis Obispo"
2,1,0,"PI","0",0,0,"Volume 53."
3,1,2,"HL","0",0,0,"Poly students watch hopefuls’ first dehate"
4,1,2,"BL","0",0,0,"By Tara Giambalvo"
5,1,2,"BL","0",0,0,"St>M WrlUf"
6,1,2,"PH","0",0,0,"AHI* Baalla, aaronautleal anginaarlwg communication aanlor, watch tha dabata"
7,1,2,"PH","0",0,0,"Kivm MAarauMMiMa oaMy"
8,1,2,"PH","0",0,0,", and Eric LInxwtIar, apaach"
9,1,2,"TXT","1",0,0,"About 20 members of the Young Democrats turned out at Osos Street’s Rose and Crown while the College Republicans gathered in the University Union lounge to cheer their respective candidates in last night’s presidential debate."
10,1,2,"TXT","2",0,0,"Massachusetts Gov. Michael Dukakis and Vice President George Bush faced off in the televised debate Sunday night."
11,1,2,"TXT","3",0,0,"“We’re very serious ... about knowing what’s going on,’’ said Shara Peters, Young Democrats president and cofounder."
12,1,2,"TXT","4",0,0,"The Democratic Central Committee of San Luis Obispo sponsored the event at Rose and Crown to “make people aware of the issues,’’ said Tom Ferraro, president of the DCC."
13,1,2,"TXT","5",0,0,"The mostly partisan crowd watched the screen closely, though the waitresses were kept running by a few who seemed to have come chiefly for the beer and food."
14,1,2,"TXT","6",0,0,"Applause for Dukakis broke out early as he lambasted Bush’s participation in the Reagan administration’s dealings with Panamanian President’Manuel Noriega."
15,1,2,"TXT","7",0,0,"Bush’s rebuttal that the CIA could find no proof of Noriega’s wrongdoing was met with scattered grumblings and hisses."
16,1,2,"TXT","8",0,0,"As a result, Ferraro said, “Bush never quite recover^. I think Dukakis rattled Bush. Dukakis came across as more of a leader.’’"
17,1,2,"TXT","9",0,0,"Cal Poly student Brendan Martin agreed. “Bush seemed to stumble ... teemed unorganized,’’ he said."
18,1,2,"TXT","10",0,0,"Martin said Bush, however, did seem"
19,1,2,"TXT","10",0,0,"“better at off-the-cuff remarks.’’"
20,1,2,"TXT","11",0,0,"The College Republicans reserved the television lounge in the University Union for viewing the debate, according to president Andrea Mundorf."
21,1,2,"TXT","12",0,0,"The Republican Party of San Luis Obispo County did not sponsor any special events; volunteer Gary Kunkel said there were possibly some private parties planned."
22,1,2,"TXT","13","BACK PAGE",0,"Richard Kranzdorf, political science professor and adviser to the Young Democrats, said there were “no major gaffes.’’ Members of the Young Democrats saw Sec DEBATE, back page"
23,1,3,"HL","0",0,0,"Panel: Dukakis wins small edge"
24,1,3,"TXT","1",0,0,"WINSTON-SALEM, N.C. (AP) — George Bush and Michael Dukakis clashed over deficits, drugs and the Pledge of Allegiance in a crackling campaign debate Sunday night. Bush said, “I hope people don’t think I’m questioning his patriotism,’’ but Dukakis retorted that he was and added, “I resent it.’’"
25,1,3,"TXT","2",0,0,"Bush sought repeatedly in the 90-minute debate to depict Dukakis as a liberal Democrat who is “out there out of the mainstream.’’ Dukakis challenged the vice president’s judgment and ticked off a string of what he called Reagan administration failures, with emphasis on the Iran-Contra affair."
26,1,3,"TXT","3",0,0,"He said it was a “tragedy” for the president to sell arms to Iran in exchange for hostages, and said Bush endorsed it."
27,1,3,"ME","0","BACK PAGE",0,"Sac CLASH, hack page"
28,1,1,"HL","0",0,0,"Cal Poly professors get six NSF grants for lab equipment"
29,1,4,"HL","0",0,0,"Temporary shelter might close"
30,1,1,"BL","0",0,0,"By Alison Skratl"
31,1,1,"BL","0",0,0,"Managing Cdllof"
32,1,1,"TXT","1",0,0,"Six Cal Poly departments received almost S278,000 in grants from the National Science Foundation’s 1988 Instrumentation and Laboratory Program to fund equipment for various labs across campus."
33,1,1,"TXT","2",0,0,"The program is in its fourth year. And Cal Poly has had an excellent record for the previous three, said Margaret Cardoza, director of grants development. Cal Poly had two grants in 1985, two in 1986 and three in 1987, totalling about S210,000."
34,1,1,"TXT","3",0,0,"So, she said, getting six grants this year, totalling more than the three years before, was quite an accomplishment."
35,1,1,"TXT","4",0,0,"Cal Poly’s President Warren Baker was reappointed last year to the NSF’s governing body, the National Science Board."
36,1,1,"TXT","5",0,0,"The grants, ranging from $15,000 to $100,000, will help enormously in stretching Cal Poly’s equipment budget, said Cor-doza. They will provide matching funds for new equipment in these departments:	industrial"
37,1,1,"TXT","5",0,0,"engineering, biological sciences, natural resource management, metallurgical and materials engineering, electronic and electrical engineering and architecture."
38,1,1,"TXT","6",0,0,"This year’s winning proposals"
39,1,1,"TXT","6",0,0,"are;"
40,1,1,"TXT","7",0,0,"•	$100,000 for a new, nondestructive evaluation facilty for the meullurgical and materials engineering department. Professor Daniel Walsh wrote the proposal."
41,1,1,"TXT","8",0,0,"•	$50,000 for a data aquisition, analysis and presentation system for the natural resource management department. Department head Norman Pillsbury’s proposal secured the sum."
42,1,1,"TXT","9",0,0,"•	$45,900 to complete an electro-optics laboratory that will allow for broadening courses in fiber optics, and creates new ones in electro-optical engineering. Professor Michael Wollman wrote this winning proposal for the electronic and electrical engineering department."
43,1,1,"TXT","10",0,0,"•	$48,850 to initiate three core lab courses for the new biotechnology minor program. Professor Raul Cano wrote the proposal for the biological sciences department."
44,1,1,"TXT","11",0,0,"•	$18,400 for a pneumatic automation simulator for the industrial engineering department. Professor K.N. Balasubramanian wrote the proposal."
45,1,1,"TXT","12",0,0,"•	$14,600 to buy equipment for an architectural science lab. Professor Donald Wollard wrote the proposal for this grant for the architecture department."
46,1,4,"BL","0",0,0,"By ChrifdBC C. Temple"
47,1,4,"BL","0",0,0,"SUWWiWf___________________________"
48,1,4,"TXT","1",0,0,"If a permanent building location for a homeless shelter is not found by Oct. 31, the Salvation Army announced that it will fold the umbrella it has held over the San Luis Obispo homeless since Feb. I."
49,1,4,"TXT","2",0,0,"The Salvation Army has been providing a small van to transport the homeless from City Hall to its shelter on Kansas Avenue."
50,1,4,"TXT","3",0,0,"The shelter has an open fire and grill to heat canned foods, two 6B-by-2(>-foot open trailers and 20 cots with blankets for overnight lodging. Without refrigeration, storage and washing facilities, the Salvation Army says it feels its efforts to provide humane protectorship have been crippled."
51,1,4,"TXT","4",0,0,"Of the two trailers provided, only one has electricity, said Site Director Jennifer Abbott, emphasizing that exposed electrical wires in the one trailer endanger nighttime users. Leaks in both trailers also cause the growth of mold and mildew, she said."
52,1,4,"TXT","5",0,0,"Abbott said the shelter would close if thoroughly inspected by health officials."
53,1,4,"TXT","6",0,0,"Captain Dan Hughes of the Salvation Army told Coun-cilmembers that because the health and safety of the program coordinators is at risk, he feels it is time to find a more permanent facility."
54,1,4,"TXT","7",0,0,"San Luis Obispo Coalition for the Homeless Chairman George Moylan said the community must find something workable that will continue to be sup-"
55,1,4,"TXT","7",0,0,"ported."
56,1,4,"TXT","8",0,0,"“Any proposal in any zone does not specifically allow for a shelter ... but this leaves an opening for legal problems,” he said."
57,1,4,"TXT","9",0,0,"Moylan pointed out that there are only three options in dealing with the homeless iuiie."
58,1,4,"TXT","10",0,0,"“These people can either be eliminated, institutionalized or sheltered,” Moylan said. “The first went out with Hitler, the second is more than society is willing to pay and the third is one way of inexpensively confronting the problem.”"
59,1,4,"TXT","11",0,0,"The homeless coalition includes representatives from the Economic Opportunity Council, Women’s and People’s Shelter, Red Cross, city and county officials and other non-profit organizations within the county."
60,1,4,"TXT","12",0,0,"From November 1987 to June 1988, the city provided the Salvation Army with $17,172. An additional $18,000, only 14 percent of the Salvation Army’s budget, will be given by the end of 1988. The county gave the Salvation Army $45,000 from November 1987 through June 1988 and will finish the year with another $39,750 allotment."
61,1,4,"TXT","13",0,0,"Abbott said the funding is approximately one quarter of what they need to provide a quality shelter and staff to handle the number of homeless."
62,1,4,"TXT","14",0,0,"Councilmembers have received complaints from parents that their children are being frightened by the irrational behavior of the homeless."
63,1,4,"TXT","15",0,0,"Reports of homeless people defecating on private property also angered Mayor Ron Dunin."
64,1,4,"TXT","16",0,0,"Dunin repremanded the Salvation Army, telling them to supervise their clients more thoroughly so they would not disrupt the lives of residents."
65,1,4,"TXT","17",0,0,"Dunin also threatened to stop city support of the program."
66,1,4,"TXT","18",0,0,"“The population of San Luis Obipso is becoming hostage to this small group of people,” Dunin told Salvation ficials."
